P. Name,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Radius (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),
HAT-P-20 b,non-habitable,2277.95,2303.79,9.71,143.4864,147.8377,152.3576,
HAT-P-21 b,non-habitable,1287.77,1291.79,11.47,290.3158,449.5509,734.4319,
HAT-P-22 b,non-habitable,682.21,682.62,12.1,433.4453,447.4767,462.0879,
HAT-P-23 b,non-habitable,653.58,664.49,15.32,2793.092,3435.638,4274.434,
HAT-P-24 b,non-habitable,217.43,217.79,13.91,1042.869,1189.894,1363.854,
HAT-P-25 b,non-habitable,179.59,180.27,13.33,326.4827,347.8792,371.0695,
HAT-P-26 b,non-habitable,18.6,18.61,6.32,127.9086,162.8355,210.56,
HAT-P-27-WASP-40 b,non-habitable,209.45,209.84,11.82,302.5032,352.5828,413.4986,
HAT-P-28 b,non-habitable,198.86,199.03,13.57,546.098,603.9769,669.7649,
HAT-P-29 b,non-habitable,247.24,247.36,12.4,345.9584,416.6611,506.4272,
HAT-P-30-WASP-51 b,non-habitable,225.7,226.06,15.01,1287.713,1380.229,1481.257,
HAT-P-31 b,non-habitable,690.24,690.25,11.98,478.9751,765.6108,1302.182,
HAT-P-32 b,non-habitable,298.34,299.18,22.81,1398.693,1917.203,2700.036,
HAT-P-33 b,non-habitable,242.14,242.59,20.46,1426.569,1900.77,2589.648,
HAT-P-34 b,non-habitable,1057.94,1058.1,12.4,355.8864,823.1313,2364.188,
HAT-P-35 b,non-habitable,333.57,335.11,14.92,979.2142,1029.083,1082.195,
HAT-P-36 b,non-habitable,581.56,582.47,14.16,1632.5,1848.236,2100.945,
HAT-P-37 b,non-habitable,371.06,371.67,13.19,392.7481,440.3451,495.4041,
HAT-P-38 b,non-habitable,,84.89,9.24,198.1059,226.035,259.0809,
HAT-P-39 b,non-habitable,190.23,190.45,17.6,1563.165,1563.165,1563.166,
HAT-P-40 b,non-habitable,195.53,195.53,19.38,1614.016,1614.017,1614.017,
HAT-P-41 b,non-habitable,252.56,254.35,18.87,1233.663,1233.663,1233.663,
HAT-P-42 b,non-habitable,309.94,309.99,14.3,689.2172,689.2173,689.2174,
HAT-P-43 b,non-habitable,209.19,209.84,14.37,565.8174,565.8174,565.8175,
HAT-P-44 b,non-habitable,,124.63,14.34,228.8458,263.6524,305.3565,
HAT-P-44 c,non-habitable,508.7,508.7,11,1.383454,1.383454,1.383454,
HAT-P-45 b,non-habitable,249.94,283.6,15.97,1114.774,1228.116,1356.302,
HAT-P-46 b,non-habitable,123.85,156.74,14.38,584.2561,742.3782,957.8898,
HAT-P-46 c,non-habitable,635.88,635.88,11.26,16.37738,16.37738,16.37738,
HAT-P-47 b,non-habitable,,65.5,14.71,1099.111,1099.111,1099.112,
HAT-P-48 b,non-habitable,,53.41,12.67,568.9089,568.909,568.909,
HAT-P-49 b,non-habitable,,550.04,15.83,3399.413,3399.414,3399.415,
HAT-P-50 b,non-habitable,,432.4,14.43,1577.258,1973.779,2503.346,
HAT-P-51 b,non-habitable,,98.24,14.48,264.5467,336.1432,433.7253,
HAT-P-52 b,non-habitable,260.28,260.39,11.3,331.5381,363.8206,400.1486,
HAT-P-53 b,non-habitable,472.72,472.78,14.76,1286.138,1668.771,2205.09,
HAT-P-54 b,non-habitable,241.53,241.63,10.57,64.89006,75.04971,87.28399,
HAT-P-55 b,non-habitable,,185.04,13.24,379.5194,497.1241,664.082,
HAT-P-56 b,non-habitable,698.24,699.47,16.42,1224.389,1960.763,3342.923,
HAT-P-57 b,non-habitable,,588.19,15.83,3874.944,3874.944,3874.944,
HAT-P-65 b,non-habitable,167.49,167.55,21.17,1364.204,2416.271,4704.02,
HAT-P-66 b,non-habitable,,248.95,17.81,2164.117,2164.118,2164.118,
HAT-P-67 b,non-habitable,,108.1,23.35,555.1408,879.1135,1477.525,
HATS-1 b,non-habitable,,589.78,14.58,464.175,586.4362,751.8057,
HATS-2 b,non-habitable,,427.63,13.08,1020.932,1020.932,1020.932,
HATS-3 b,non-habitable,,340.51,15.47,1223.233,1223.233,1223.233,
HATS-4 b,non-habitable,,420.63,11.42,486.4999,499.2668,512.462,
HATS-5 b,non-habitable,,75.35,10.21,176.6044,183.4087,190.5477,
HATS-6 b,non-habitable,,101.42,11.18,42.71117,42.71117,42.71118,
HATS-7 b,non-habitable,,38.15,6.31,228.6356,228.6356,228.6357,
HATS-8 b,non-habitable,43.78,43.88,9.78,265.4139,546.2954,1314.553,
HATS-9 b,non-habitable,,266.75,11.93,1382.19,1776.437,2322.038,
HATS-10 b,non-habitable,,167.24,10.85,288.798,750.0681,2598.31,
HATS-11 b,non-habitable,270.21,270.25,16.91,656.5255,1253.219,2705.592,
HATS-12 b,non-habitable,763.03,763.06,15.12,2729.997,3225.239,3838.354,
HATS-13 b,non-habitable,172.6,172.64,13.57,286.6355,405.6763,593.4711,
HATS-14 b,non-habitable,340.5,340.51,11.64,336.126,442.7957,595.3953,
HATS-15 b,non-habitable,689.89,689.93,12.38,825.0446,825.0447,825.0448,
HATS-16 b,non-habitable,,1039.66,14.56,1063.412,1063.412,1063.412,
HATS-17 b,non-habitable,425.12,425.4,8.7,68.85584,72.93599,77.32514,
HATS-18 b,non-habitable,629.14,629.52,14.97,2177.654,3001.868,4255.901,
HATS-19 b,non-habitable,135.74,135.76,18.59,560.018,991.9004,1931.042,
HATS-20 b,non-habitable,86.48,86.8,8.69,127.0548,329.9875,1143.109,
HATS-21 b,non-habitable,,105.56,12.58,449.953,449.9531,449.9532,
HATS-22 b,non-habitable,,871.16,10.67,77.10735,90.04634,105.8248,
HATS-23 b,non-habitable,462.71,467.37,20.83,1005.363,1255.71,1589.209,
HATS-24 b,non-habitable,775.77,775.77,16.65,2004.143,3173.733,5334.089,
HATS-25 b,non-habitable,,194.9,14.11,371.7264,441.7067,529.0006,
HATS-26 b,non-habitable,,206.66,19.6,1797.269,2279.332,2934.689,
HATS-27 b,non-habitable,,168.51,16.8,751.3264,1306.131,2479.665,
HATS-28 b,non-habitable,213.24,213.66,13.37,336.9193,410.4751,505.2902,
HATS-29 b,non-habitable,,207.61,14.01,305.9443,357.2834,419.8885,
HATS-30 b,non-habitable,,224.47,13.16,605.1516,665.3766,733.3187,
HATS-31 b,non-habitable,,279.79,18.37,1210.306,1891.734,3127.146,
HATS-32 b,non-habitable,292.41,292.5,13.99,325.3878,797.9091,2515.215,
HATS-33 b,non-habitable,370.09,378.98,13.78,593.221,694.1061,817.4402,
HATS-34 b,non-habitable,,299.18,16.02,720.1935,720.1935,720.1937,
HATS-35 b,non-habitable,,388.52,16.4,2836.062,2836.063,2836.063,
HATS-36 b,non-habitable,886.81,887.05,14.15,342.1968,599.3447,1149.306,
HATS-39 b,non-habitable,194.75,200.3,17.58,751.6534,1270.634,2324.168,
HATS-40 b,non-habitable,505.37,505.52,17.7,1857.182,3364.016,6752.136,
HATS-41 b,non-habitable,3083.44,3084.02,14.9,690.4454,1421.128,3419.666,
HATS-42 b,non-habitable,597.59,597.73,15.68,1289.627,2000.709,3276.255,
HATS-43 b,non-habitable,82.98,82.98,13.22,118.9196,166.1053,239.2071,
HATS-44 b,non-habitable,178.01,178.05,11.95,196.8421,335.2446,619.2888,
HATS-45 b,non-habitable,222.52,222.56,14.4,575.1229,910.7567,1530.708,
HATS-46 b,non-habitable,55,55,10.11,85.04723,249.2028,1062.474,
HATS-50 b,non-habitable,123.99,124,12.66,246.354,660.7494,2416.119,
HATS-51 b,non-habitable,244.17,244.18,15.79,537.3509,1006.678,2116.913,
HATS-52 b,non-habitable,,712.19,15.48,1322.259,2117.494,3610.136,
HATS-53 b,non-habitable,94.87,189.17,15.01,275.7357,516.5659,1086.271,
HATS-59 b,non-habitable,,256.26,12.61,209.0437,268.6699,351.1871,
HATS-59 c,non-habitable,4037.84,4037.84,11.42,0.1365358,0.1597555,0.1881421,
HD 142 b,non-habitable,397.42,397.43,10.65,0.6797231,0.9440796,1.350467,
HD 142 c,non-habitable,1685.08,1685.08,11.68,0.01429974,0.02141002,0.03354043,
HD 564 b,non-habitable,104.92,104.92,7.9,0.6420728,0.7747785,0.9436917,
HD 984 b,non-habitable,20666.1,20666.1,,0.006599283,0.006599283,0.006599285,
HD 1160 b,non-habitable,25117.26,25117.26,,0.00216621,0.002166211,0.002166211,
HD 1461 b,non-habitable,6.45,6.45,1.77,295.6221,295.6221,295.6222,
HD 1461 c,non-habitable,5.6,5.6,1.71,95.23772,95.23772,95.23775,
HD 1502 b,non-habitable,985.61,985.61,11.58,5.67622,6.915447,8.512836,
HD 1605 b,non-habitable,305.22,305.22,10.19,2.606515,3.038025,3.562906,
HD 1605 c,non-habitable,1106.43,1106.43,11.62,0.4441592,0.5380219,0.6580989,
HD 1666 b,non-habitable,2044.35,2044.35,11.68,2.267702,7.755527,43.99353,
HD 1690 b,non-habitable,1939.43,1939.43,11.68,20.50991,71.76742,425.4768,
HD 2039 b,non-habitable,1942.61,1942.61,11.68,0.1185182,0.4451192,3.033994,
HD 2638 b,non-habitable,,152.61,11.65,200.7109,217.5529,236.2088,
HD 2952 b,non-habitable,508.7,508.7,11,38.88794,49.98008,65.33059,
HD 3167 b,non-habitable,,5.02,1.7,1549.257,1549.258,1549.258,
HD 3167 c,non-habitable,,9.79,3.01,9.869314,16.43647,29.48085,
HD 3167 d,non-habitable,6.9,6.9,1.8,45.86985,90.91412,207.0758,
HD 3651 b,non-habitable,73.44,73.44,7.11,2.600238,8.245391,40.56513,
HD 3651 c,non-habitable,28.61,28.61,5.24,15.39869,16.66792,18.07138,
HD 4113 b,non-habitable,495.99,495.99,10.97,0.200362,1.614683,77.08004,
HD 4203 b,non-habitable,578.65,578.65,11.16,0.5357397,1.448601,5.370428,
HD 4203 c,non-habitable,689.93,689.93,11.34,0.02078743,0.03291868,0.05532638,
HD 4208 b,non-habitable,255.62,255.62,9.85,0.2072443,0.2296574,0.2551971,
HD 4308 b,non-habitable,12.88,12.88,4.01,33.19008,55.58534,100.4331,
HD 4313 b,non-habitable,731.26,731.26,11.39,9.021978,9.784787,10.63038,
HD 4732 b,non-habitable,753.52,753.52,11.41,8.750913,11.26837,14.76119,
HD 4732 c,non-habitable,753.52,753.52,11.41,0.4943217,0.7683176,1.261121,
HD 4747 b,non-habitable,19139.99,19139.99,8.87,0.000559383,0.002517789,0.02504233,
HD 5319 b,non-habitable,616.8,616.8,11.23,1.617011,2.042923,2.619009,
HD 5319 c,non-habitable,365.63,365.63,10.51,1.095165,1.464738,2.004381,
HD 5583 b,non-habitable,1837.69,1837.69,11.68,124.0683,144.0497,168.2327,
HD 5608 b,non-habitable,445.12,445.12,10.82,4.173563,4.173564,4.173565,
HD 5891 b,non-habitable,2416.34,2416.34,11.66,59.98989,68.31458,78.13969,
HD 6434 b,non-habitable,124,124,8.28,12.59618,17.49506,25.02596,
HD 6718 b,non-habitable,495.99,495.99,10.97,0.06631392,0.08063671,0.09905247,
HD 7199 b,non-habitable,92.2,92.2,7.61,0.2657026,0.3831812,0.5733896,
HD 7449 b,non-habitable,352.91,352.91,10.45,0.06881307,0.3959346,7.031884,
HD 7449 c,non-habitable,635.88,635.88,11.26,0.02093523,0.05777156,0.2217754,
HD 7924 b,non-habitable,,8.68,11.76,109.1938,122.4269,137.7347,
HD 7924 c,non-habitable,7.85,7.85,1.87,25.29298,30.63806,37.47594,
HD 7924 d,non-habitable,6.45,6.45,1.77,11.13457,16.67103,26.11644,
HD 8535 b,non-habitable,216.2,216.2,9.51,0.2269104,0.3034833,0.4152935,
HD 8574 b,non-habitable,670.85,670.85,11.31,2.340075,4.052909,7.656034,
HD 8673 b,non-habitable,4514.75,4514.75,11.33,0.1123757,0.4828592,4.346104,
HD 9174 b,non-habitable,352.91,352.91,10.45,0.398741,0.5037671,0.6458247,
HD 9446 b,non-habitable,222.56,222.56,9.57,19.64675,28.86989,44.19777,
HD 9446 c,non-habitable,578.65,578.65,11.16,2.102623,2.366637,2.673577,
HD 9578 b,non-habitable,197.12,197.12,9.31,0.9203056,0.9203057,0.9203059,
HD 10180 c,non-habitable,13.1,13.1,4.04,352.4218,385.2269,421.9584,
HD 10180 d,non-habitable,11.75,11.75,3.89,80.77707,95.98396,114.9531,
HD 10180 e,non-habitable,25.11,25.11,5.02,20.62069,21.71368,22.88067,
HD 10180 f,non-habitable,23.91,23.91,4.94,5.052835,6.568542,8.698464,
HD 10180 g,non-habitable,21.41,21.41,4.76,0.5522925,0.796485,1.191854,
HD 10180 h,non-habitable,64.42,64.42,6.83,0.1172788,0.1372236,0.1616066,
HD 10442 b,non-habitable,667.67,667.67,11.31,0.8817024,1.092869,1.371338,
HD 10647 b,non-habitable,295.68,295.68,10.14,0.2895994,0.3521485,0.4325719,
HD 10697 b,non-habitable,2171.53,2171.53,11.68,0.4761218,0.5789568,0.7111785,
HD 11506 b,non-habitable,1093.71,1093.71,11.62,0.2618857,0.3995083,0.640565,
HD 11506 c,non-habitable,260.71,260.71,9.89,2.795863,6.210217,16.75357,
HD 11755 b,non-habitable,2066.61,2066.61,11.68,140.0426,201.9615,302.2137,
HD 11964 b,non-habitable,197.76,197.76,9.32,0.2988957,0.3241674,0.3521816,
HD 11964 c,non-habitable,25.12,25.12,5.02,36.50239,64.65282,125.8668,
HD 11977 b,non-habitable,1999.84,1999.84,11.68,13.27071,28.37182,72.23087,
HD 12484 b,non-habitable,947.46,947.46,11.56,11.18382,12.83499,14.80345,
HD 12648 b,non-habitable,922.03,922.03,11.54,131.6744,142.5276,154.5285,
HD 12661 b,non-habitable,731.26,731.26,11.39,0.9368593,1.917401,4.575582,
HD 12661 c,non-habitable,499.17,499.17,10.98,0.1756283,0.1867702,0.1988159,
HD 13189 b,non-habitable,4451.16,4451.16,11.34,5.760836,9.648005,17.43228,
HD 13808 b,non-habitable,10.33,10.33,3.73,25.45552,35.35562,50.57477,
HD 13808 c,non-habitable,11.45,11.45,3.86,2.875347,6.510688,18.09177,
HD 13908 b,non-habitable,275.02,275.02,10,155.1938,169.9724,186.5614,
HD 13908 c,non-habitable,1631.03,1631.03,11.68,0.7790738,0.9842777,1.261835,
HD 13931 b,non-habitable,597.73,597.73,11.19,0.05678976,0.05909473,0.06151906,
HD 14067 b,non-habitable,2479.93,2479.93,11.65,2.730412,7.581072,29.41215,
HD 16141 b,non-habitable,68.36,68.36,6.95,4.190561,7.15033,13.24132,
HD 16175 b,non-habitable,1516.57,1516.57,11.68,0.3338415,1.160133,6.786632,
HD 16417 b,non-habitable,21.94,21.94,4.8,97.84411,143.7769,220.1123,
HD 17092 b,non-habitable,1462.52,1462.52,11.68,12.23557,16.86659,23.91262,
HD 17156 b,non-habitable,,1015.82,12.26,37.63552,143.7031,1012.608,
HD 17674 b,non-habitable,276.61,276.61,10.01,0.7527704,0.7527704,0.7527705,
HD 18742 b,non-habitable,858.44,858.44,11.5,2.508583,3.899057,6.399935,
HD 19467 b,non-habitable,16532.88,16532.88,9.2,0.000472974,0.000472974,0.000472974,
HD 19994 b,non-habitable,534.14,534.14,11.06,1.257791,2.227791,4.337087,
HD 20003 b,non-habitable,12.02,12.02,3.92,40.33659,86.23673,219.5471,
HD 20003 c,non-habitable,13.42,13.42,4.07,14.4923,19.75262,27.63341,
HD 20367 b,non-habitable,340.2,340.2,10.39,0.7453849,1.158541,1.901637,
HD 20781 b,non-habitable,12.05,12.05,3.93,13.0506,16.17621,20.29799,
HD 20781 c,non-habitable,15.77,15.77,4.3,2.347117,4.004873,7.416416,
HD 20782 b,non-habitable,604.09,604.09,11.21,0.1706015,5.417353,735.2881,
HD 20794 b,non-habitable,2.82,2.82,1.41,25.38296,42.51031,76.80881,
HD 20794 d,non-habitable,3.53,3.53,1.5,3.189546,5.146079,8.858066,
HD 20794 e,non-habitable,4.77,4.77,1.64,1.531608,2.662598,5.054893,
HD 20868 b,non-habitable,632.7,632.7,11.25,0.1078226,0.4991796,5.281029,
HD 21693 b,non-habitable,10.24,10.24,3.72,17.441,28.66961,50.55438,
HD 21693 c,non-habitable,20.58,20.58,4.69,5.672942,8.983594,15.09871,
HD 22781 b,non-habitable,4339.88,4339.88,11.36,0.06901177,0.3958791,6.975289,
HD 23079 b,non-habitable,778.95,778.95,11.44,0.4331992,0.5287879,0.6523154,
HD 23127 b,non-habitable,476.91,476.91,10.92,0.2141616,0.494378,1.415653,
HD 23596 b,non-habitable,2575.31,2575.31,11.65,0.3402847,0.5937748,1.132928,
HD 24040 b,non-habitable,1274.94,1274.94,11.66,0.07065008,0.07647336,0.0829125,
HD 24064 b,non-habitable,2988.64,2988.64,11.6,115.2433,224.1546,496.9847,
HD 25171 b,non-habitable,302.04,302.04,10.17,0.1691016,0.1978596,0.2330168,
HD 27442 b,non-habitable,429.22,429.22,10.77,13.19845,14.79797,16.64825,
HD 27631 b,non-habitable,461.01,461.01,10.87,0.06821296,0.08617987,0.1104818,
HD 27894 b,non-habitable,211.43,211.43,9.46,18.72506,20.54836,22.60014,
HD 27894 c,non-habitable,51.51,51.51,6.36,7.94074,8.181547,8.431679,
HD 27894 d,non-habitable,1721.65,1721.65,11.68,0.005602228,0.01172931,0.02894412,
HD 28185 b,non-habitable,1812.26,1812.26,11.68,0.7077942,0.8122928,0.9368715,
HD 28254 b,non-habitable,368.81,368.81,10.53,0.1336189,0.743663,12.12055,
HD 28678 b,non-habitable,540.5,540.5,11.08,10.91675,15.10544,21.51145,
HD 29021 b,non-habitable,763.06,763.06,11.42,0.0559995,0.1341319,0.4071577,
HD 30177 b,non-habitable,2565.78,2565.78,11.65,0.06115041,0.08654641,0.1266103,
HD 30177 c,non-habitable,953.82,953.82,11.56,0.01225615,0.0238389,0.05285446,
HD 30562 b,non-habitable,410.14,410.14,10.7,0.1732136,0.8253963,9.310993,
HD 30669 b,non-habitable,149.43,149.43,8.7,0.0627113,0.08875554,0.129842,
HD 30856 b,non-habitable,572.29,572.29,11.15,1.585567,2.510882,4.220036,
HD 31253 b,non-habitable,158.97,158.97,8.84,1.234071,2.18578,4.255298,
HD 31527 b,non-habitable,11.54,11.54,3.87,65.94258,84.91292,111.2331,
HD 31527 c,non-habitable,15.83,15.83,4.3,15.10698,18.72508,23.49634,
HD 31527 d,non-habitable,16.5,16.5,4.36,1.037347,2.135148,5.137815,
HD 32518 b,non-habitable,966.54,966.54,11.57,116.1211,118.4599,120.8591,
HD 32963 b,non-habitable,222.56,222.56,9.57,0.05864943,0.06730841,0.07763129,
HD 33142 b,non-habitable,413.32,413.32,10.71,6.165797,9.405964,15.08137,
HD 33283 b,non-habitable,,104.92,11.09,27.82357,66.51406,201.276,
HD 33564 b,non-habitable,2893.25,2893.25,11.61,0.7626253,1.45575,3.142838,
HD 33844 b,non-habitable,623.16,623.16,11.24,2.770599,3.705562,5.070775,
HD 33844 c,non-habitable,556.4,556.4,11.11,1.464029,1.8852,2.469549,
HD 34445 b,non-habitable,199.98,199.98,9.34,0.4477165,0.4603789,0.473499,
HD 34445 c,non-habitable,53.41,53.41,6.43,3.581253,3.846102,4.136044,
HD 34445 d,non-habitable,30.84,30.84,5.37,8.098907,8.545041,9.022567,
HD 34445 e,non-habitable,16.82,16.82,4.39,23.10771,27.56385,33.15057,
HD 34445 f,non-habitable,37.83,37.83,5.75,0.7832007,0.8328869,0.886604,
HD 34445 g,non-habitable,120.82,120.82,8.22,0.04600966,0.04902497,0.05229307,
HD 35759 b,non-habitable,1195.45,1195.45,11.64,12.57462,26.32732,64.96723,
HD 37124 b,non-habitable,214.61,214.61,9.49,1.888919,2.101389,2.344714,
HD 37124 c,non-habitable,207.3,207.3,9.42,0.1614806,0.2059665,0.2669074,
HD 37124 d,non-habitable,221.29,221.29,9.56,0.05636748,0.07682733,0.1074795,
HD 37605 b,non-habitable,894.37,894.37,11.53,2.830548,10.80519,76.1015,
HD 37605 c,non-habitable,1070.19,1070.19,11.61,0.04288927,0.04401479,0.04517806,
HD 38283 b,non-habitable,108.1,108.1,7.97,1.151255,2.508698,6.573222,
HD 38529 b,non-habitable,295.68,295.68,10.14,210.5569,338.4513,579.7972,
HD 38529 c,non-habitable,7535.18,7535.18,10.7,0.2228761,0.4417408,1.006156,
HD 38801 b,non-habitable,3401.96,3401.96,11.53,1.47768,1.47768,1.477681,
HD 38858 b,non-habitable,30.55,30.55,5.36,0.4743651,0.7944467,1.435428,
HD 39091 b,non-habitable,3274.78,3274.78,11.55,0.1705949,0.5578438,2.906182,
HD 39194 b,non-habitable,3.72,3.72,1.53,100.4558,147.6147,225.9877,
HD 39194 c,non-habitable,5.95,5.95,1.74,34.74563,43.06717,54.04093,
HD 39194 d,non-habitable,5.15,5.15,1.67,9.14646,13.44025,20.57608,
HD 39392 b,non-habitable,4196.81,4196.81,11.39,1.395894,2.95045,7.384295,
HD 40307 b,non-habitable,3.82,3.82,1.54,71.82004,105.5359,161.568,
HD 40307 c,non-habitable,6.43,6.43,1.77,31.49368,35.44815,40.04559,
HD 40307 d,non-habitable,8.74,8.74,1.92,11.34943,13.02505,15.02267,
HD 40307 e,non-habitable,3.5,3.5,1.5,4.960214,6.634083,9.078231,
HD 40307 f,non-habitable,3.62,3.62,1.52,3.631432,3.778823,3.933847,
HD 40307 g,psychroplanet,7.09,7.09,1.82,0.3895282,0.6771687,1.285592,
HD 40956 b,non-habitable,858.44,858.44,11.5,12.26258,19.41885,32.63723,
HD 40979 b,non-habitable,1274.94,1274.94,11.66,1.736067,2.811479,4.862772,
HD 41004 A b,non-habitable,807.57,807.57,11.46,0.1194492,0.2505645,0.6200555,
HD 41004 B b,non-habitable,,5850.1,11.87,149.5026,167.6208,188.5795,
HD 41248 c,non-habitable,7.09,7.09,1.82,49.62152,50.79233,51.9985,
HD 42012 b,non-habitable,508.7,508.7,11,0.1846152,0.1846152,0.1846152,
HD 42618 b,non-habitable,14.4,14.4,4.17,2.216593,3.196645,4.783437,
HD 43197 b,non-habitable,190.76,190.76,9.24,0.2914648,1.734998,33.7592,
HD 43691 b,non-habitable,791.67,791.67,11.45,62.03736,81.41565,108.9965,
HD 44219 b,non-habitable,184.41,184.41,9.17,0.4663728,1.525035,7.944929,
HD 45184 b,non-habitable,12.72,12.72,4,171.9733,304.5981,592.9947,
HD 45350 b,non-habitable,569.11,569.11,11.14,0.1361765,0.6847476,8.731088,
HD 45364 b,non-habitable,59.52,59.52,6.66,0.974178,1.348981,1.922779,
HD 45364 c,non-habitable,209.17,209.17,9.44,0.6367451,0.7704183,0.9411655,
HD 45652 b,non-habitable,149.43,149.43,8.7,6.449285,13.27442,31.94228,
HD 46375 b,non-habitable,10.05,73.13,11.42,352.0964,390.4797,434.2614,
HD 47186 b,non-habitable,22.79,22.79,4.86,351.2235,378.6832,408.8953,
HD 47186 c,non-habitable,111.47,111.47,8.04,0.1057435,0.1702906,0.2924229,
HD 47366 b,non-habitable,556.4,556.4,11.11,15.33793,18.26054,21.91542,
HD 47366 c,non-habitable,591.37,591.37,11.18,4.780867,8.127183,14.9761,
HD 47536 b,non-habitable,1589.7,1589.7,11.68,48.73838,71.61855,109.643,
HD 48265 b,non-habitable,368.81,368.81,10.53,1.239857,1.754775,2.567091,
HD 49674 b,non-habitable,5.3,31.79,10.98,193.2419,213.0975,235.5816,
HD 50499 b,non-habitable,543.68,543.68,11.09,0.09199026,0.1429792,0.2346869,
HD 50554 b,non-habitable,1640.57,1640.57,11.68,0.1026743,0.2666664,0.9237588,
HD 51608 b,non-habitable,13.13,13.13,4.04,43.65438,58.38595,79.89668,
HD 51608 c,non-habitable,17.96,17.96,4.49,2.266417,4.938749,12.94037,
HD 52265 b,non-habitable,333.84,333.84,10.36,4.428499,8.613677,19.09783,
HD 52265 c,non-habitable,111.28,111.28,8.04,18.32394,20.22647,22.38357,
HD 59686 A b,non-habitable,2200.14,2200.14,11.67,56.60022,62.47691,69.13989,
HD 60532 b,non-habitable,2928.23,2928.23,11.6,9.076496,15.42949,28.4322,
HD 60532 c,non-habitable,6934.27,6934.27,10.82,3.267183,3.52262,3.803662,
HD 62509 b,non-habitable,922.03,922.03,11.54,12.37854,12.88096,13.40939,
HD 63454 b,non-habitable,,124,11.87,169.0165,175.077,181.4148,
HD 63765 b,non-habitable,203.48,203.48,9.38,0.3847194,0.6092363,1.023943,
HD 65216 b,non-habitable,400.6,400.6,10.66,0.1960607,0.4272358,1.119431,
HD 65216 c,non-habitable,54.05,54.05,6.46,2.170746,2.258851,2.351519,
HD 66141 b,non-habitable,1907.64,1907.64,11.68,85.60685,98.24583,113.3135,
HD 66428 b,non-habitable,896.59,896.59,11.53,0.0608604,0.1474948,0.4562087,
HD 67087 b,non-habitable,972.9,972.9,11.57,2.167766,3.010849,4.306897,
HD 67087 c,non-habitable,1542.01,1542.01,11.68,0.07501654,0.3574683,4.032469,
HD 68402 b,non-habitable,976.08,976.08,11.57,0.232051,0.2462865,0.2616385,
HD 68988 b,non-habitable,591.37,591.37,11.18,205.6718,262.2819,339.812,
HD 69830 b,non-habitable,45.37,45.37,6.1,81.05763,98.56483,121.075,
HD 69830 c,non-habitable,52.43,52.43,6.39,13.6819,17.6179,23.07887,
HD 69830 d,non-habitable,80.41,80.41,7.31,1.330022,1.526386,1.760483,
HD 70642 b,non-habitable,635.88,635.88,11.26,0.04966005,0.06038586,0.07417674,
HD 72659 b,non-habitable,1001.51,1001.51,11.58,0.0612092,0.09337505,0.149716,
HD 72892 b,non-habitable,1732.77,1732.77,11.68,13.28307,29.67491,80.76562,
HD 73256 b,non-habitable,594.55,594.55,11.19,471.9205,499.8847,529.9668,
HD 73267 b,non-habitable,972.9,972.9,11.57,0.1017836,0.1660685,0.290016,
HD 73526 b,non-habitable,715.36,715.37,11.37,2.766953,4.810163,9.132007,
HD 73526 c,non-habitable,715.36,715.37,11.37,1.119208,1.909698,3.536472,
HD 73534 b,non-habitable,365.63,365.63,10.51,0.3490109,0.3822461,0.4195525,
HD 74156 b,non-habitable,565.3,565.3,11.13,13.3515,46.50447,273.2564,
HD 74156 c,non-habitable,2542.57,2542.57,11.65,0.1091379,0.225873,0.5479296,
HD 75289 b,non-habitable,,149.43,11.54,891.3996,929.601,969.8916,
HD 75784 b,non-habitable,365.63,365.63,10.51,3.885192,5.002883,6.553609,
HD 75784 c,non-habitable,1780.46,1780.46,11.68,0.07310209,0.1448885,0.3300136,
HD 75898 b,non-habitable,798.03,798.03,11.45,1.761833,2.142362,2.631633,
HD 76700 b,non-habitable,,73.13,11.09,630.5361,711.9212,806.9197,
HD 76920 b,non-habitable,1249.5,1249.5,11.66,5.365236,35.02342,890.8777,
HD 77065 b,non-habitable,13035.54,13035.54,9.7,0.4803282,1.913916,14.711,
HD 77338 b,non-habitable,158.97,158.97,8.84,153.2553,153.2553,153.2553,
HD 79498 b,non-habitable,426.04,426.04,10.76,0.05184078,0.1622613,0.7793557,
HD 80606 b,non-habitable,,1252.68,10.32,1.161331,12.46651,986.1754,
HD 81040 b,non-habitable,2181.07,2181.07,11.67,0.07995109,0.2188346,0.8283731,
HD 81688 b,non-habitable,562.75,562.75,11.13,177.6478,177.6479,177.6479,
HD 82886 b,non-habitable,413.32,413.32,10.71,3.215536,5.385244,9.730208,
HD 82943 b,non-habitable,4610.13,4610.13,11.31,0.6538985,0.9662873,1.489537,
HD 82943 c,non-habitable,4575.16,4575.16,11.32,1.186,2.659771,7.281962,
HD 82943 d,non-habitable,92.2,92.2,7.61,0.2912105,0.2912106,0.2912107,
HD 83443 b,non-habitable,,127.18,11.65,515.9637,523.2216,530.6113,
HD 85390 b,non-habitable,41.97,41.97,5.95,0.09548545,0.2080723,0.5451854,
HD 85390 c,non-habitable,63.59,63.59,6.8,0.02450499,0.02450499,0.02450499,
HD 85512 b,non-habitable,3.5,3.5,1.5,1.512592,1.874856,2.35258,
