P. Name,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Radius (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),
GJ 163 c,psychroplanet,7.26,7.26,1.83,0.5515569,0.6630019,0.804139,
GJ 163 d,non-habitable,22.08,22.08,4.81,0.005030649,0.01073471,0.0272512,
GJ 176 b,non-habitable,8.43,8.43,1.9,8.882277,8.882278,8.88228,
GJ 179 b,non-habitable,260.71,260.71,9.89,0.001965386,0.002942638,0.004609867,
GJ 180 b,mesoplanet,8.3,8.3,1.89,0.9960187,1.234564,1.549138,
GJ 180 c,mesoplanet,6.4,6.4,1.77,0.6584886,0.785473,0.9446748,
GJ 229 A b,non-habitable,32.01,32.01,5.44,0.09940835,0.120879,0.1484853,
GJ 229 Bb,non-habitable,11127.9,11127.9,10.01,             ,             ,             ,
GJ 273 b,mesoplanet,2.89,2.89,1.42,1.003524,1.220269,1.498954,
GJ 273 c,non-habitable,1.18,1.18,1.1,5.536193,7.689316,10.99925,
GJ 317 b,non-habitable,813.93,813.93,11.47,0.005388496,0.006679036,0.008380889,
GJ 317 c,non-habitable,635.88,635.88,11.26,2.97E-06,1.65E-05,0.00026928,
GJ 328 b,non-habitable,731.26,731.26,11.39,0.001041315,0.002103179,0.004922937,
GJ 422 b,mesoplanet,9.9,9.9,1.98,0.6164306,0.6804333,0.7529997,
GJ 433 b,non-habitable,5.3,5.3,1.68,5.840059,6.446419,7.133913,
GJ 433 c,non-habitable,44.51,44.51,6.07,0.001306665,0.00181485,0.00259607,
GJ 436 b,non-habitable,,22.26,4.26,30.08927,43.49088,65.25721,
GJ 504 b,non-habitable,,1271.76,10.75,0.001158965,0.001158966,0.001158966,
GJ 536 b,non-habitable,5.37,5.37,1.69,7.992558,9.351799,11.0135,
GJ 570 Db,non-habitable,,13512.45,9.58,8.53E-08,8.53E-08,8.53E-08,
GJ 581 b,non-habitable,15.9,15.9,4.31,6.76612,7.195362,7.659428,
GJ 581 c,non-habitable,5.4,5.4,1.69,1.98165,2.27422,2.62301,
GJ 581 e,non-habitable,1.94,1.94,1.27,8.852251,16.27629,33.34861,
GJ 625 b,non-habitable,3.02,3.02,1.44,1.646878,2.120652,2.777983,
GJ 649 b,non-habitable,104.28,104.28,7.89,0.01567702,0.02776705,0.05405717,
GJ 649 c,non-habitable,9.54,9.54,1.96,12.81783,18.83514,28.83528,
GJ 667 C b,non-habitable,5.6,5.6,1.71,4.207579,5.418015,7.097418,
GJ 667 C c,mesoplanet,3.8,3.8,1.54,0.8427715,0.8769776,0.9129552,
GJ 667 C d,non-habitable,5.1,5.1,1.67,0.1695281,0.1799281,0.1911438,
GJ 667 C e,psychroplanet,2.7,2.7,1.4,0.290249,0.3020295,0.3144201,
GJ 667 C f,psychroplanet,2.7,2.7,1.4,0.5306531,0.5632069,0.5983137,
GJ 667 C g,non-habitable,4.6,4.6,1.62,0.03897282,0.04560067,0.05370333,
GJ 674 b,non-habitable,,12.72,12.66,15.26617,17.52007,20.20707,
GJ 676 A b,non-habitable,2130.2,2130.2,11.68,0.01663422,0.03075689,0.06350941,
GJ 676 A c,non-habitable,2161.99,2161.99,11.68,0.001523893,0.002239282,0.003428183,
GJ 676 A d,non-habitable,4.45,4.45,1.6,42.37339,56.67265,77.55215,
GJ 676 A e,non-habitable,11.45,11.45,3.86,1.777829,2.815345,4.731746,
GJ 682 b,non-habitable,4.4,4.4,1.6,1.516594,1.774511,2.08982,
GJ 682 c,psychroplanet,8.7,8.7,1.92,0.3020603,0.3673006,0.4511845,
GJ 687 b,non-habitable,18.44,18.44,4.53,0.7364886,0.7971932,0.8643177,
