P. Name,P. Habitable Class,P. Min Mass (EU),S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. Hab Zone Min (AU),S. Hab Zone Max (AU),
HD 217107 c,non-habitable,791.67,1.02,1.08,5666,1.078558,0.785,1.854,
HD 217786 b,non-habitable,4133.22,1.02,1.27,5966,1.833286,1.005,2.356,
HD 218566 b,non-habitable,66.77,0.85,0.86,4820,0.358158,0.473,1.151,
HD 219077 b,non-habitable,3303.4,1.05,1.91,5362,2.674337,1.257,2.999,
HD 219134 b,non-habitable,,0.79,0.78,4699,0.264771,0.408,1,
HD 219134 c,non-habitable,3.5,0.79,0.78,4699,0.264771,0.408,1,
HD 219134 d,non-habitable,21.3,0.79,0.78,4699,0.264771,0.408,1,
HD 219134 e,non-habitable,63.59,1.58,0.78,4699,0.264771,0.408,1,
HD 219134 g,non-habitable,10.81,0.8,0.78,4699,0.264771,0.408,1,
HD 219134 h,non-habitable,89.02,0.79,0.78,4699,0.264771,0.408,1,
HD 219415 b,non-habitable,317.94,1,2.9,4820,4.072622,1.594,3.882,
HD 219828 b,non-habitable,21.02,1.24,1.7,5891,3.122798,1.317,3.094,
HD 219828 c,non-habitable,4800.89,1.24,1.7,5891,3.122798,1.317,3.094,
HD 220074 b,non-habitable,3529.13,1.2,49.67,3935,530.709878,18.711,47.512,
HD 220689 b,non-habitable,337.02,1.04,1.1,5940,1.351045,0.864,2.027,
HD 220773 b,non-habitable,461.01,1.16,1.59,5940,2.807968,1.245,2.922,
HD 220842 b,non-habitable,1011.05,1.13,1.35,5920,1.99416,1.051,2.467,
HD 221287 b,non-habitable,982.43,1.25,1.09,6304,1.67075,0.94,2.188,
HD 221585 b,non-habitable,511.88,1.19,1.5,5620,2.005339,1.073,2.539,
HD 222076 b,non-habitable,495.99,1.07,4.14,4806,8.204,2.263,5.516,
HD 222155 b,non-habitable,604.09,1.13,1.67,5765,2.763886,1.249,2.943,
HD 222582 b,non-habitable,2464.03,0.99,1.15,5662,1.219453,0.834,1.972,
HD 224538 b,non-habitable,1898.1,1.54,1.34,6097,2.2262,1.098,2.568,
HD 224693 b,non-habitable,225.74,1.33,1.7,6037,3.444073,1.371,3.21,
HD 231701 b,non-habitable,343.38,1.14,1.35,6208,2.428646,1.139,2.658,
HD 233604 b,non-habitable,2090.46,1.5,10.9,4791,56.162641,5.926,14.451,
HD 238914 b,non-habitable,1907.64,1.47,12.73,4769,75.206597,6.864,16.754,
HD 240210 b,non-habitable,2193.79,1.25,5.59,4290,9.433483,2.473,6.17,
HD 240237 b,non-habitable,1685.08,1.69,32,4361,332.302917,14.645,36.419,
HD 283668 b,non-habitable,16978,0.68,0.66,4845,0.213814,0.365,0.888,
HD 283869 b,mesoplanet,,0.74,0.66,4655,0.183509,0.341,0.836,
HD 284149 b,non-habitable,10174.08,1.14,1.05,6040,1.319637,0.848,1.986,
HD 285507 b,non-habitable,291.55,0.73,0.66,4503,0.158747,0.319,0.787,
HD 286123 b,non-habitable,,1.19,1.16,6154,1.73454,0.966,2.256,
HD 290327 b,non-habitable,807.57,0.9,1,5552,0.852487,0.702,1.665,
HD 330075 b,non-habitable,,0.95,0.53,6295,0.395738,0.458,1.066,
HII 1348 b,non-habitable,18758.46,,0.44,5150,0.121229,0.271,0.651,
HIP 5158 b,non-habitable,457.83,0.78,0.55,4962,0.165358,0.319,0.773,
HIP 5158 c,non-habitable,4781.82,0.78,0.55,4962,0.165358,0.319,0.773,
HIP 8541 b,non-habitable,1777.28,1.17,7.83,4670,26.162599,4.065,9.965,
HIP 11915 b,non-habitable,314.76,1,1.04,5760,1.05757,0.773,1.821,
HIP 12961 b,non-habitable,111.28,0.67,0.7,3840,0.096262,0.252,0.644,
HIP 14810 b,non-habitable,1233.61,0.99,1,5485,0.812075,0.688,1.635,
HIP 14810 c,non-habitable,406.96,0.99,1,5485,0.812075,0.688,1.635,
HIP 14810 d,non-habitable,181.23,0.99,1,5485,0.812075,0.688,1.635,
HIP 41378 b,non-habitable,,1.15,1.4,6199,2.596764,1.179,2.75,
HIP 41378 c,non-habitable,,1.15,1.4,6199,2.596764,1.179,2.75,
HIP 41378 d,non-habitable,,1.15,1.4,6199,2.596764,1.179,2.75,
HIP 41378 e,non-habitable,,1.15,1.4,6199,2.596764,1.179,2.75,
HIP 41378 f,non-habitable,,1.15,1.4,6199,2.596764,1.179,2.75,
HIP 57050 b,non-habitable,94.75,0.34,0.4,3190,0.014865,0.1,0.264,
HIP 57050 c,non-habitable,21639,0.34,0.4,3190,0.014865,0.1,0.264,
HIP 57274 b,non-habitable,11.45,0.73,0.68,4640,0.1923,0.349,0.856,
HIP 57274 c,non-habitable,130.36,0.73,0.68,4640,0.1923,0.349,0.856,
HIP 57274 d,non-habitable,167.55,0.73,0.68,4640,0.1923,0.349,0.856,
HIP 63242 b,non-habitable,2918.69,1.54,5.08,5940,28.619862,3.976,9.328,
HIP 64892 b,non-habitable,10492.02,2.35,1.79,10400,33.630189,4.021,9.267,
HIP 65407 b,non-habitable,136.08,0.93,0.24,5460,0.047371,0.166,0.396,
HIP 65407 c,non-habitable,249.26,0.93,0.24,5460,0.047371,0.166,0.396,
HIP 65426 b,non-habitable,,1.96,1.77,8840,17.165067,2.873,6.621,
HIP 65891 b,non-habitable,1907.64,2.5,8.93,5000,44.71701,5.238,12.664,
HIP 67537 b,non-habitable,3529.13,2.41,8.69,4985,41.839846,5.07,12.266,
HIP 67851 b,non-habitable,438.76,1.63,5.52,4890,15.631599,3.113,7.559,
HIP 67851 c,non-habitable,1901.28,1.63,5.52,4890,15.631599,3.113,7.559,
HIP 68468 b,non-habitable,3.5,1.05,1.08,5857,1.215506,0.823,1.936,
HIP 68468 c,non-habitable,29.89,1.05,1.08,5857,1.215506,0.823,1.936,
HIP 70849 b,non-habitable,2861.46,0.63,0.4,4105,0.040966,0.164,0.412,
HIP 73990 b,non-habitable,6676.74,1.72,1.71,7450,8.050447,1.967,4.534,
HIP 73990 c,non-habitable,6994.68,1.72,1.71,7450,8.050447,1.967,4.534,
HIP 74865 b,non-habitable,8902.32,1.42,1.24,6640,2.66315,1.163,2.695,
HIP 74890 b,non-habitable,763.06,1.74,5.77,4850,16.52755,3.206,7.8,
HIP 75458 b,non-habitable,2985.46,1.4,12.8,4445,57.384805,6.069,15.033,
HIP 77900 b,non-habitable,6358.8,,,13700,,,,
HIP 78530 b,non-habitable,7325.34,2.5,6.19,10500,415.085907,14.128,32.558,
HIP 79431 b,non-habitable,667.67,0.49,0.4,3191,0.014613,0.099,0.261,
HIP 91258 b,non-habitable,339.56,0.95,0.86,5519,0.608825,0.595,1.411,
HIP 97233 b,non-habitable,6358.8,1.93,5.34,5020,16.247527,3.154,7.62,
HIP 105854 b,non-habitable,2607.11,2.1,8.79,4780,35.913074,4.741,11.567,
HIP 107773 b,non-habitable,629.52,2.42,11.6,4945,72.188991,6.672,16.167,
HIP 109384 b,non-habitable,495.99,0.78,0.78,5180,0.386788,0.483,1.159,
HIP 109600 b,non-habitable,852.08,0.87,0.88,5530,0.648329,0.613,1.455,
HIP 116454 b,non-habitable,11.8,0.78,0.72,5089,0.308493,0.433,1.044,
HN Peg b,non-habitable,,1,1.03,5940,1.173912,0.805,1.889,
HR 810 b,non-habitable,718.54,1.11,1.85,5997,3.971636,1.476,3.458,
HR 2562 b,non-habitable,9538.2,1.3,1.13,7300,3.249778,1.25,2.881,
HR 3549 b,non-habitable,14307.3,,1.78,10207,30.781054,3.847,8.866,
HR 7329 b,non-habitable,11127.9,,1.6,9790,21.01273,3.179,7.325,
HR 8799 b,non-habitable,,1.56,1.5,9790,5.847799,1.677,3.864,
HR 8799 c,non-habitable,,1.56,1.5,9790,5.847799,1.677,3.864,
HR 8799 d,non-habitable,,1.56,1.5,9790,5.847799,1.677,3.864,
HR 8799 e,non-habitable,2861.46,1.56,1.5,9790,5.847799,1.677,3.864,
HU Aqr(AB) c,non-habitable,1875.85,1,,,1,,,
HW Vir(AB) b,non-habitable,4546.54,0.63,,,0.15455,,,
J1324+63 b,non-habitable,,,,,,,,
J1433 b,non-habitable,18154.38,0.8,0.12,13200,0.4096,0.444,1.023,
K2-3 b,non-habitable,,0.61,0.55,3900,0.063474,0.205,0.521,
K2-3 c,non-habitable,,0.61,0.55,3900,0.063474,0.205,0.521,
K2-3 d,non-habitable,,0.61,0.55,3900,0.063474,0.205,0.521,
K2-4 b,non-habitable,,0.63,0.6,4197,0.100219,0.256,0.641,
K2-5 b,non-habitable,,0.61,0.57,3930,0.069536,0.214,0.544,
