P. Name,P. Habitable Class,P. Min Mass (EU),S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. Hab Zone Min (AU),S. Hab Zone Max (AU),
Kepler-1071 b,non-habitable,,0.86,0.81,5215,0.435389,0.511,1.226,
Kepler-1072 b,non-habitable,,1.2,1.32,6199,2.308471,1.111,2.593,
Kepler-1073 b,non-habitable,,1,1,5792,1.009727,0.753,1.774,
Kepler-1073 c,non-habitable,,1,1,5792,1.009727,0.753,1.774,
Kepler-1074 b,non-habitable,,0.6,0.57,4002,0.074774,0.222,0.561,
Kepler-1075 b,non-habitable,,0.56,0.54,3959,0.064272,0.206,0.522,
Kepler-1076 b,non-habitable,,0.79,0.74,4868,0.275902,0.414,1.006,
Kepler-1077 b,non-habitable,,1.02,1.02,5816,1.068041,0.774,1.821,
Kepler-1078 b,non-habitable,,0.94,0.92,5612,0.753245,0.658,1.557,
Kepler-1079 b,non-habitable,,1.08,1.36,5758,1.824124,1.015,2.392,
Kepler-1080 b,non-habitable,,1.1,1.16,5956,1.519234,0.915,2.146,
Kepler-1081 b,non-habitable,,0.88,0.84,5345,0.516701,0.553,1.32,
Kepler-1082 b,non-habitable,,1.03,1.14,5923,1.435048,0.891,2.092,
Kepler-1083 b,non-habitable,,0.81,0.77,5049,0.345695,0.459,1.109,
Kepler-1084 b,non-habitable,,1.12,1.28,6113,2.052709,1.054,2.462,
Kepler-1085 b,non-habitable,,1.11,1.14,6000,1.51114,0.91,2.133,
Kepler-1086 b,non-habitable,,0.7,0.66,4350,0.139938,0.301,0.748,
Kepler-1086 c,non-habitable,,0.7,0.66,4350,0.139938,0.301,0.748,
Kepler-1087 b,non-habitable,,0.96,0.94,5589,0.773539,0.667,1.581,
Kepler-1088 b,non-habitable,,1.08,1.08,5975,1.333795,0.856,2.008,
Kepler-1089 b,non-habitable,,0.52,0.49,3753,0.042736,0.168,0.432,
Kepler-1090 b,mesoplanet,,0.86,0.82,5321,0.483605,0.536,1.28,
Kepler-1091 b,non-habitable,,1.01,1.03,5851,1.115539,0.789,1.856,
Kepler-1092 b,non-habitable,,0.99,1,5862,1.059432,0.769,1.807,
Kepler-1093 b,non-habitable,,1.13,1.2,6166,1.867525,1.002,2.339,
Kepler-1093 c,non-habitable,,1.13,1.2,6166,1.867525,1.002,2.339,
Kepler-1094 b,non-habitable,,1.14,1.21,6112,1.833133,0.996,2.327,
Kepler-1095 b,non-habitable,,0.94,0.92,5658,0.778247,0.667,1.576,
Kepler-1096 b,non-habitable,,0.66,0.63,4306,0.122424,0.282,0.702,
Kepler-1097 b,non-habitable,,0.82,0.79,5211,0.412884,0.498,1.194,
Kepler-1098 b,non-habitable,,0.99,0.99,5794,0.991001,0.746,1.758,
Kepler-1099 b,non-habitable,,1.01,1,5837,1.041474,0.763,1.795,
Kepler-1100 b,non-habitable,,1.21,1.34,6247,2.453497,1.142,2.663,
Kepler-1101 b,non-habitable,,0.94,0.91,5614,0.73801,0.651,1.541,
Kepler-1102 b,non-habitable,,0.96,0.94,5724,0.851029,0.695,1.639,
Kepler-1103 b,non-habitable,,1.11,1.15,6092,1.634275,0.941,2.201,
Kepler-1104 b,non-habitable,,1.3,1.41,6417,3.024518,1.256,2.918,
Kepler-1105 b,non-habitable,,0.71,0.68,4299,0.141702,0.303,0.756,
Kepler-1106 b,non-habitable,,1.11,1.17,6104,1.704982,0.961,2.246,
Kepler-1107 b,non-habitable,,0.86,0.82,5268,0.464623,0.527,1.261,
Kepler-1108 b,non-habitable,,0.88,0.84,5406,0.540695,0.564,1.343,
Kepler-1109 b,non-habitable,,1.05,1.06,5893,1.215759,0.822,1.93,
Kepler-1110 b,non-habitable,,0.73,0.7,4781,0.2297,0.379,0.925,
Kepler-1111 b,non-habitable,,1.1,1.15,6077,1.618238,0.937,2.193,
Kepler-1112 b,non-habitable,,1.34,1.54,6496,3.78892,1.399,3.247,
Kepler-1113 b,non-habitable,,1.12,1.17,5931,1.519754,0.917,2.151,
Kepler-1114 b,non-habitable,,0.87,0.83,5374,0.51551,0.552,1.315,
Kepler-1115 b,non-habitable,,1.6,1.73,8480,13.885627,2.584,5.955,
Kepler-1116 b,non-habitable,,0.95,0.93,5641,0.785742,0.671,1.586,
Kepler-1117 b,non-habitable,,0.95,0.93,5612,0.769709,0.665,1.574,
Kepler-1118 b,non-habitable,,0.96,0.97,5688,0.883633,0.709,1.675,
Kepler-1119 b,non-habitable,,1.11,1.17,6083,1.681639,0.955,2.234,
Kepler-1120 b,non-habitable,,0.78,0.74,4904,0.284155,0.419,1.018,
Kepler-1121 b,non-habitable,,1.29,1.59,6231,3.419126,1.35,3.148,
Kepler-1122 b,non-habitable,,0.92,0.89,5544,0.671371,0.623,1.479,
Kepler-1123 b,non-habitable,,0.93,0.9,5500,0.665006,0.622,1.477,
Kepler-1124 b,non-habitable,,0.35,0.34,3658,0.01857,0.111,0.286,
Kepler-1125 b,non-habitable,,0.95,0.94,5683,0.826906,0.686,1.621,
Kepler-1126 b,non-habitable,,0.92,0.93,5798,0.876937,0.702,1.653,
Kepler-1127 b,non-habitable,,0.97,0.95,5664,0.833355,0.69,1.63,
Kepler-1128 b,non-habitable,,0.94,0.91,5543,0.701378,0.637,1.512,
Kepler-1129 b,non-habitable,,1,1,5831,1.037199,0.762,1.792,
Kepler-1129 c,non-habitable,,1,1,5831,1.037199,0.762,1.792,
Kepler-1130 b,non-habitable,,0.9,0.81,5403,0.501649,0.543,1.294,
Kepler-1131 b,non-habitable,,1.03,1.04,5851,1.137305,0.797,1.874,
Kepler-1132 b,non-habitable,,0.87,0.83,5298,0.486961,0.538,1.287,
Kepler-1133 b,non-habitable,,0.93,0.9,5569,0.699011,0.635,1.506,
Kepler-1134 b,non-habitable,,0.84,0.81,5281,0.457851,0.522,1.25,
Kepler-1135 b,non-habitable,,0.96,0.94,5656,0.811303,0.681,1.61,
Kepler-1136 b,non-habitable,,0.72,0.68,4512,0.171943,0.331,0.818,
Kepler-1137 b,non-habitable,,1.5,1.84,6807,6.521514,1.804,4.171,
Kepler-1138 b,non-habitable,,0.95,0.92,5582,0.737267,0.652,1.544,
Kepler-1139 b,non-habitable,,0.94,0.91,5550,0.704928,0.639,1.514,
Kepler-1140 b,non-habitable,,0.76,0.73,4850,0.264547,0.406,0.987,
Kepler-1141 b,non-habitable,,1.01,1.07,5791,1.155239,0.806,1.898,
Kepler-1142 b,non-habitable,,0.97,0.96,5685,0.863683,0.701,1.657,
Kepler-1143 b,non-habitable,,0.81,0.77,5053,0.346792,0.46,1.11,
Kepler-1143 c,non-habitable,,0.81,0.77,5053,0.346792,0.46,1.11,
Kepler-1144 b,non-habitable,,0.98,0.96,5753,0.905753,0.715,1.686,
Kepler-1145 b,non-habitable,,0.79,0.75,5064,0.331885,0.45,1.085,
Kepler-1146 b,non-habitable,,0.74,0.7,4692,0.213068,0.366,0.898,
Kepler-1147 b,non-habitable,,1.09,1.14,5941,1.452572,0.896,2.101,
Kepler-1148 b,non-habitable,,0.81,0.77,5054,0.347066,0.46,1.11,
Kepler-1149 b,non-habitable,,1.02,1.01,5833,1.059499,0.77,1.811,
Kepler-1150 b,non-habitable,,0.76,0.72,4754,0.23757,0.386,0.943,
Kepler-1151 b,non-habitable,,0.88,0.85,5470,0.580333,0.582,1.384,
Kepler-1152 b,non-habitable,,0.55,0.53,3964,0.062227,0.202,0.513,
Kepler-1153 b,non-habitable,,0.91,0.88,5470,0.62202,0.603,1.433,
Kepler-1154 b,non-habitable,,1.26,1.43,6327,2.94004,1.245,2.897,
Kepler-1154 c,non-habitable,,1.26,1.43,6327,2.94004,1.245,2.897,
Kepler-1155 b,non-habitable,,1.03,1.03,5842,1.108691,0.787,1.851,
Kepler-1156 b,non-habitable,,1,1,5778,1,0.75,1.768,
Kepler-1157 b,non-habitable,,0.76,0.71,4679,0.21678,0.37,0.906,
Kepler-1158 b,non-habitable,,1.41,1.95,6203,5.05087,1.644,3.835,
Kepler-1159 b,non-habitable,,1.19,1.28,6217,2.196004,1.083,2.526,
Kepler-1160 b,non-habitable,,0.92,0.89,5519,0.659343,0.619,1.469,
Kepler-1161 b,non-habitable,,0.59,0.57,4253,0.095372,0.249,0.622,
Kepler-1162 b,non-habitable,,0.89,0.84,5390,0.534323,0.561,1.337,
Kepler-1163 b,non-habitable,,1.22,1.35,6302,2.579117,1.167,2.719,
Kepler-1164 b,non-habitable,,0.85,0.79,5183,0.404081,0.493,1.185,
Kepler-1165 b,non-habitable,,1.13,1.18,6080,1.707136,0.963,2.252,
Kepler-1166 b,non-habitable,,0.9,0.86,5446,0.58371,0.585,1.391,
Kepler-1167 b,non-habitable,,0.79,0.75,4971,0.308168,0.435,1.054,
Kepler-1168 b,non-habitable,,0.87,0.82,5157,0.426684,0.508,1.22,
Kepler-1169 b,non-habitable,,1.24,1.23,6191,1.994083,1.033,2.412,
Kepler-1170 b,non-habitable,,0.8,0.76,5069,0.342142,0.457,1.101,
Kepler-1171 b,non-habitable,,1.58,1.95,7044,8.399171,2.023,4.668,
Kepler-1172 b,non-habitable,,0.92,0.89,5558,0.678179,0.626,1.484,
Kepler-1173 b,non-habitable,,0.86,0.82,5252,0.459004,0.524,1.255,
Kepler-1174 b,non-habitable,,1.04,1.04,5936,1.204847,0.816,1.915,
Kepler-1175 b,non-habitable,,0.9,0.86,5453,0.586717,0.586,1.394,
Kepler-1176 b,non-habitable,,1.01,1.02,5844,1.088757,0.78,1.834,
Kepler-1177 b,non-habitable,,0.98,0.97,5712,0.898641,0.714,1.686,
Kepler-1178 b,non-habitable,,0.8,0.75,4990,0.312907,0.438,1.06,
Kepler-1179 b,non-habitable,,0.84,0.81,5212,0.434388,0.511,1.225,
Kepler-1180 b,non-habitable,,1.09,1.14,6077,1.590218,0.929,2.174,
Kepler-1181 b,non-habitable,,1.17,1.3,6176,2.206001,1.088,2.54,
Kepler-1182 b,non-habitable,,1.04,1.05,5924,1.218228,0.821,1.927,
Kepler-1183 b,non-habitable,,1,0.99,5765,0.971309,0.74,1.744,
Kepler-1184 b,non-habitable,,1.05,1.07,5983,1.316235,0.85,1.993,
Kepler-1185 b,non-habitable,,0.96,0.87,5622,0.678409,0.624,1.476,
Kepler-1186 b,non-habitable,,0.95,0.93,5635,0.782405,0.669,1.584,
Kepler-1187 b,non-habitable,,1.06,1.09,5975,1.358609,0.864,2.026,
Kepler-1188 b,non-habitable,,1.04,1.06,5913,1.232348,0.826,1.94,
Kepler-1189 b,non-habitable,,1.11,1.16,6012,1.577182,0.929,2.177,
Kepler-1190 b,non-habitable,,0.76,0.72,4730,0.232809,0.382,0.935,
Kepler-1191 b,non-habitable,,0.85,0.81,5308,0.467287,0.527,1.26,
Kepler-1192 b,non-habitable,,0.86,0.83,5438,0.540509,0.563,1.339,
Kepler-1193 b,non-habitable,,1.08,1.21,5908,1.600378,0.942,2.212,
Kepler-1194 b,non-habitable,,0.94,0.92,5590,0.741503,0.653,1.548,
Kepler-1195 b,non-habitable,,0.74,0.71,4965,0.274842,0.411,0.996,
Kepler-1196 b,non-habitable,,0.98,0.97,5756,0.926652,0.723,1.705,
Kepler-1197 b,non-habitable,,0.78,0.72,4708,0.228508,0.379,0.928,
Kepler-1198 b,non-habitable,,0.93,0.9,5517,0.673266,0.625,1.484,
Kepler-1199 b,non-habitable,,0.94,1.17,5889,1.477161,0.906,2.128,
Kepler-1200 b,non-habitable,,0.74,0.7,4612,0.198904,0.355,0.873,
Kepler-1201 b,non-habitable,,1.15,1.24,6177,2.00837,1.038,2.423,
Kepler-1202 b,non-habitable,,1.03,1.04,5834,1.124145,0.793,1.866,
Kepler-1203 b,non-habitable,,0.64,0.61,4105,0.094799,0.249,0.627,
Kepler-1204 b,non-habitable,,1.03,1.03,5825,1.095842,0.783,1.843,
Kepler-1205 b,non-habitable,,0.84,0.81,5226,0.439074,0.513,1.23,
Kepler-1206 b,non-habitable,,0.8,0.75,4877,0.285511,0.421,1.023,
Kepler-1207 b,non-habitable,,1.06,1.06,5909,1.229016,0.825,1.938,
Kepler-1208 b,non-habitable,,0.8,0.76,5001,0.324149,0.446,1.078,
Kepler-1209 b,non-habitable,,1.23,1.38,6210,2.541058,1.165,2.718,
Kepler-1210 b,non-habitable,,0.94,0.92,5568,0.729898,0.649,1.539,
Kepler-1211 b,non-habitable,,0.96,0.94,5705,0.839785,0.691,1.631,
Kepler-1212 b,non-habitable,,1.1,1.15,6051,1.590721,0.931,2.179,
Kepler-1213 b,non-habitable,,1.14,1.21,6050,1.759876,0.979,2.292,
Kepler-1214 b,non-habitable,,0.85,0.8,5130,0.397685,0.491,1.181,
Kepler-1215 b,non-habitable,,0.95,0.93,5616,0.771906,0.666,1.576,
Kepler-1216 b,non-habitable,,0.99,0.98,5743,0.93734,0.728,1.717,
Kepler-1217 b,non-habitable,,1.06,1.08,5905,1.27238,0.84,1.973,
Kepler-1218 b,non-habitable,,1.06,1.1,5986,1.393869,0.875,2.051,
Kepler-1219 b,non-habitable,,1.25,1.94,5944,4.215106,1.525,3.579,
Kepler-1220 b,non-habitable,,1,0.99,5842,1.024251,0.757,1.78,
Kepler-1221 b,non-habitable,,0.87,0.82,5194,0.439061,0.514,1.234,
Kepler-1222 b,non-habitable,,0.84,0.8,5239,0.432577,0.509,1.22,
Kepler-1223 b,non-habitable,,0.8,0.75,4870,0.283876,0.42,1.02,
Kepler-1224 b,non-habitable,,1.18,1.22,6155,1.916557,1.015,2.371,
Kepler-1225 b,non-habitable,,1.13,1.19,6140,1.805748,0.987,2.304,
Kepler-1226 b,non-habitable,,1.02,1.02,5923,1.148834,0.797,1.872,
Kepler-1227 b,non-habitable,,0.97,0.95,5747,0.883287,0.707,1.666,
Kepler-1228 b,non-habitable,,0.78,0.74,5063,0.322838,0.444,1.07,
Kepler-1229 b,psychroplanet,,0.54,0.51,3784,0.047845,0.178,0.456,
Kepler-1230 b,non-habitable,,1.06,1.08,5961,1.321338,0.853,2.001,
Kepler-1231 b,non-habitable,,1.01,1,5778,1,0.75,1.768,
Kepler-1232 b,non-habitable,,0.92,0.89,5471,0.636703,0.61,1.449,
Kepler-1233 b,non-habitable,,1.16,1.25,6198,2.068789,1.052,2.455,
Kepler-1234 b,non-habitable,,0.8,0.76,4967,0.315423,0.441,1.067,
Kepler-1235 b,non-habitable,,0.93,0.9,5541,0.685058,0.63,1.494,
Kepler-1236 b,non-habitable,,0.86,0.82,5337,0.489448,0.539,1.286,
Kepler-1237 b,non-habitable,,0.94,0.9,5472,0.651567,0.617,1.466,
Kepler-1238 b,non-habitable,,1.3,1.48,6386,3.268353,1.308,3.041,
Kepler-1239 b,non-habitable,,1.4,1.57,6564,4.105474,1.45,3.364,
Kepler-1240 b,non-habitable,,0.98,0.96,5682,0.861861,0.701,1.655,
Kepler-1241 b,non-habitable,,0.84,0.8,5261,0.439889,0.513,1.227,
Kepler-1242 b,non-habitable,,0.77,0.74,4895,0.282075,0.418,1.015,
Kepler-1243 b,non-habitable,,0.96,0.94,5667,0.817633,0.683,1.614,
Kepler-1244 b,non-habitable,,1.46,1.77,6680,5.596831,1.683,3.896,
Kepler-1245 b,non-habitable,,0.86,0.83,5306,0.489909,0.54,1.29,
Kepler-1245 c,non-habitable,,0.86,0.83,5306,0.489909,0.54,1.29,
Kepler-1246 b,non-habitable,,0.73,0.69,4611,0.193094,0.35,0.86,
Kepler-1247 b,non-habitable,,0.86,0.82,5303,0.477094,0.533,1.274,
Kepler-1248 b,non-habitable,,1.21,1.21,6149,1.877927,1.005,2.348,
Kepler-1249 b,non-habitable,,1.19,1.28,6202,2.174888,1.079,2.516,
Kepler-1250 b,non-habitable,,0.99,0.98,5717,0.920481,0.723,1.705,
Kepler-1251 b,non-habitable,,0.92,0.89,5545,0.671856,0.624,1.479,
Kepler-1252 b,non-habitable,,1.06,1.09,5949,1.335115,0.858,2.013,
Kepler-1253 b,non-habitable,,0.97,1.1,5850,1.271448,0.843,1.981,
Kepler-1254 b,non-habitable,,0.78,0.75,4985,0.311654,0.438,1.059,
Kepler-1254 c,non-habitable,,0.78,0.75,4985,0.311654,0.438,1.059,
Kepler-1254 d,non-habitable,,0.78,0.75,4985,0.311654,0.438,1.059,
Kepler-1255 b,non-habitable,,1.08,1.12,6018,1.476164,0.899,2.105,
Kepler-1256 b,non-habitable,,1.17,1.36,6129,2.341672,1.124,2.627,
Kepler-1257 b,non-habitable,,0.9,0.87,5502,0.622316,0.602,1.429,
Kepler-1258 b,non-habitable,,0.99,0.99,5839,1.022149,0.756,1.778,
Kepler-1259 b,non-habitable,,0.8,0.77,5053,0.346792,0.46,1.11,
Kepler-1260 b,non-habitable,,1.06,1.08,5961,1.321338,0.853,2.001,
Kepler-1261 b,non-habitable,,0.82,0.77,5006,0.334068,0.453,1.094,
Kepler-1262 b,non-habitable,,0.99,0.98,5771,0.955755,0.734,1.73,
Kepler-1263 b,non-habitable,,0.84,0.8,5213,0.424054,0.505,1.21,
Kepler-1264 b,non-habitable,,0.99,0.98,5791,0.969073,0.738,1.739,
Kepler-1265 b,non-habitable,,0.71,0.69,4630,0.196296,0.353,0.866,
Kepler-1266 b,non-habitable,,0.8,0.76,5044,0.335442,0.453,1.093,
Kepler-1267 b,non-habitable,,1.15,1.2,6096,1.784153,0.983,2.299,
Kepler-1268 b,non-habitable,,1.06,1.09,5904,1.295174,0.848,1.99,
Kepler-1269 b,non-habitable,,1.1,1.15,5998,1.535718,0.918,2.15,
Kepler-1270 b,non-habitable,,1.28,3.38,5047,6.650533,2.015,4.864,
Kepler-1271 b,non-habitable,,1.13,1.23,6143,1.932957,1.02,2.384,
Kepler-1272 b,non-habitable,,1.06,1.09,5926,1.314587,0.853,2.002,
Kepler-1273 b,non-habitable,,0.94,0.91,5566,0.713092,0.642,1.521,
Kepler-1274 b,non-habitable,,1.45,2.17,6179,6.158601,1.818,4.242,
Kepler-1275 b,non-habitable,,1.23,1.36,6296,2.607513,1.174,2.735,
Kepler-1276 b,non-habitable,,1.14,1.21,6188,1.926025,1.016,2.371,
Kepler-1277 b,non-habitable,,0.94,0.92,5578,0.735156,0.651,1.543,
Kepler-1278 b,non-habitable,,1.11,1.16,6074,1.643255,0.945,2.21,
Kepler-1279 b,non-habitable,,1.21,1.33,6221,2.377026,1.126,2.627,
Kepler-1280 b,non-habitable,,1.2,1.32,6227,2.350462,1.12,2.611,
Kepler-1281 b,non-habitable,,0.87,0.83,5353,0.507499,0.548,1.308,
Kepler-1282 b,non-habitable,,0.92,0.89,5504,0.652204,0.616,1.463,
Kepler-1283 b,non-habitable,,1.16,1.25,6175,2.038251,1.046,2.441,
Kepler-1284 b,non-habitable,,0.84,0.79,5123,0.385693,0.484,1.163,
Kepler-1285 b,non-habitable,,1.2,1.28,6170,2.130348,1.07,2.497,
Kepler-1286 b,non-habitable,,1,0.98,5753,0.943886,0.73,1.721,
Kepler-1287 b,non-habitable,,0.96,0.94,5715,0.845689,0.693,1.635,
Kepler-1288 b,non-habitable,,1.2,1.29,6132,2.11095,1.067,2.493,
Kepler-1289 b,non-habitable,,1.1,1.17,6080,1.678324,0.955,2.233,
Kepler-1290 b,non-habitable,,0.95,0.93,5660,0.796382,0.674,1.594,
Kepler-1291 b,non-habitable,,0.84,0.8,5216,0.425031,0.505,1.211,
Kepler-1292 b,non-habitable,,0.95,0.93,5556,0.739443,0.654,1.55,
Kepler-1293 b,non-habitable,,1.18,1.28,6241,2.230111,1.09,2.54,
Kepler-1294 b,non-habitable,,0.99,0.97,5776,0.939598,0.728,1.714,
Kepler-1295 b,non-habitable,,0.92,0.89,5486,0.643714,0.613,1.455,
Kepler-1296 b,non-habitable,,0.87,0.83,5359,0.509778,0.549,1.31,
Kepler-1297 b,non-habitable,,0.99,0.99,5818,1.007523,0.751,1.769,
Kepler-1298 b,non-habitable,,1.45,2,6339,5.794724,1.746,4.064,
Kepler-1299 b,non-habitable,,0.94,0.91,5609,0.735384,0.65,1.539,
Kepler-1300 b,non-habitable,,1.29,1.79,6130,4.059175,1.48,3.458,
Kepler-1301 b,non-habitable,,0.85,0.81,5188,0.426442,0.507,1.216,
Kepler-1302 b,non-habitable,,0.86,0.82,5236,0.453436,0.521,1.249,
Kepler-1303 b,non-habitable,,1.01,1,5771,0.995163,0.749,1.765,
Kepler-1304 b,non-habitable,,0.85,0.81,5259,0.45027,0.519,1.242,
Kepler-1305 b,non-habitable,,0.97,0.96,5701,0.873447,0.705,1.664,
Kepler-1306 b,non-habitable,,0.98,0.97,5727,0.908118,0.717,1.692,
Kepler-1307 b,non-habitable,,1.06,1.08,5884,1.254377,0.835,1.962,
Kepler-1308 b,non-habitable,,0.35,0.34,3468,0.015003,0.1,0.26,
Kepler-1309 b,non-habitable,,0.85,0.8,5235,0.431257,0.508,1.218,
Kepler-1310 b,non-habitable,,0.91,0.88,5549,0.65874,0.617,1.464,
Kepler-1311 b,non-habitable,,1.05,1.4,5748,1.91961,1.042,2.456,
Kepler-1311 c,non-habitable,,1.05,1.4,5748,1.91961,1.042,2.456,
Kepler-1312 b,non-habitable,,0.99,0.92,5719,0.812355,0.679,1.602,
Kepler-1313 b,non-habitable,,0.92,0.85,5453,0.573152,0.579,1.377,
Kepler-1314 b,non-habitable,,0.6,0.59,4188,0.096077,0.25,0.628,
Kepler-1315 b,non-habitable,,0.8,0.75,4861,0.281783,0.418,1.017,
Kepler-1316 b,non-habitable,,1.04,1.12,5884,1.349015,0.866,2.035,
Kepler-1317 b,non-habitable,,0.83,0.79,5144,0.392056,0.487,1.171,
Kepler-1318 b,non-habitable,,0.73,0.7,4598,0.1965,0.353,0.869,
Kepler-1319 A b,non-habitable,,0.56,0.54,3673,0.047441,0.178,0.457,
Kepler-1319 b,non-habitable,,0.56,0.54,3655,0.04669,0.176,0.454,
Kepler-1320 b,non-habitable,,0.8,0.74,4817,0.264521,0.406,0.99,
Kepler-1321 b,non-habitable,,0.54,0.53,4094,0.0708,0.215,0.543,
Kepler-1321 c,non-habitable,,0.54,0.53,4094,0.0708,0.215,0.543,
Kepler-1322 b,non-habitable,,0.9,0.87,5488,0.616006,0.599,1.423,
Kepler-1323 b,non-habitable,,1.18,1.4,6169,2.546859,1.17,2.73,
Kepler-1324 b,non-habitable,,0.78,0.73,4776,0.248767,0.395,0.963,
Kepler-1325 b,non-habitable,,0.93,0.91,5550,0.704928,0.639,1.514,
Kepler-1326 b,non-habitable,,1.45,1.74,6725,5.555939,1.672,3.87,
Kepler-1327 b,non-habitable,,1.02,1.03,5885,1.141695,0.797,1.872,
Kepler-1328 b,non-habitable,,1,0.99,5780,0.981458,0.743,1.751,
Kepler-1329 b,non-habitable,,0.72,0.69,4500,0.175161,0.335,0.827,
Kepler-1330 b,non-habitable,,0.97,0.94,5608,0.784111,0.671,1.589,
Kepler-1331 b,non-habitable,,0.72,0.69,4508,0.17641,0.336,0.829,
Kepler-1332 b,non-habitable,,0.95,0.9,5581,0.705055,0.638,1.51,
Kepler-1333 b,non-habitable,,0.94,0.92,5628,0.761872,0.661,1.564,
Kepler-1334 b,non-habitable,,0.94,0.91,5614,0.73801,0.651,1.541,
Kepler-1335 b,non-habitable,,0.77,0.74,4903,0.283923,0.419,1.018,
Kepler-1336 b,non-habitable,,0.94,1.3,5512,1.39963,0.902,2.141,
Kepler-1336 c,non-habitable,,0.94,1.3,5512,1.39963,0.902,2.141,
Kepler-1337 b,non-habitable,,0.7,0.67,4523,0.168557,0.328,0.81,
Kepler-1338 b,non-habitable,,1.04,1.05,5909,1.205936,0.818,1.92,
Kepler-1339 b,non-habitable,,0.94,0.93,5586,0.755544,0.66,1.563,
Kepler-1340 b,non-habitable,,1.27,1.42,6331,2.906403,1.237,2.88,
Kepler-1341 b,non-habitable,,0.79,0.72,4662,0.219707,0.373,0.914,
Kepler-1342 b,non-habitable,,0.93,0.9,5527,0.678161,0.627,1.488,
Kepler-1343 b,non-habitable,,0.95,0.93,5759,0.85358,0.694,1.636,
Kepler-1344 b,non-habitable,,1.09,1.13,5981,1.466027,0.898,2.104,
Kepler-1345 b,non-habitable,,1.32,1.55,6449,3.728402,1.391,3.232,
Kepler-1346 b,non-habitable,,1.14,1.21,6133,1.858457,1.001,2.339,
Kepler-1347 b,non-habitable,,0.82,0.79,5193,0.407209,0.495,1.188,
Kepler-1348 b,non-habitable,,1.04,1.04,5911,1.184678,0.81,1.903,
Kepler-1349 b,non-habitable,,1.16,1.28,6086,2.016683,1.046,2.446,
Kepler-1350 b,non-habitable,,0.55,0.53,3827,0.05406,0.189,0.483,
Kepler-1350 c,non-habitable,,0.55,0.53,3827,0.05406,0.189,0.483,
Kepler-1351 b,non-habitable,,0.7,0.67,4439,0.15638,0.317,0.785,
Kepler-1352 b,non-habitable,,1.11,1.16,6118,1.69139,0.956,2.234,
Kepler-1353 b,non-habitable,,0.76,0.72,4776,0.241998,0.389,0.95,
Kepler-1354 b,non-habitable,,1.16,1.24,6168,1.99669,1.036,2.418,
Kepler-1355 b,non-habitable,,0.88,0.83,5352,0.50712,0.548,1.307,
Kepler-1356 b,non-habitable,,0.82,0.78,5106,0.371024,0.475,1.143,
Kepler-1357 b,non-habitable,,0.93,0.9,5597,0.713175,0.641,1.517,
Kepler-1358 b,non-habitable,,0.82,0.79,5181,0.403458,0.493,1.184,
Kepler-1359 b,non-habitable,,0.78,0.72,4709,0.228702,0.379,0.929,
Kepler-1360 b,non-habitable,,1.51,1.83,6778,6.341593,1.782,4.12,
Kepler-1361 b,non-habitable,,0.83,0.79,5131,0.388108,0.485,1.166,
Kepler-1362 b,non-habitable,,0.8,0.74,4857,0.273417,0.412,1.003,
Kepler-1363 b,non-habitable,,0.76,0.72,4839,0.255022,0.398,0.97,
Kepler-1364 b,non-habitable,,1.49,1.79,6805,6.164651,1.754,4.056,
Kepler-1365 b,non-habitable,,1,1.05,5770,1.096407,0.786,1.853,
Kepler-1365 c,non-habitable,,1,1.05,5770,1.096407,0.786,1.853,
Kepler-1366 b,non-habitable,,0.62,0.6,4070,0.088628,0.241,0.608,
Kepler-1367 b,non-habitable,,0.62,0.6,4106,0.091805,0.245,0.617,
Kepler-1368 b,non-habitable,,1.07,1.08,5906,1.273243,0.84,1.973,
Kepler-1369 b,non-habitable,,0.99,0.99,5761,0.968616,0.739,1.743,
Kepler-1370 b,non-habitable,,1.19,1.29,6202,2.209003,1.087,2.536,
Kepler-1370 c,non-habitable,,1.19,1.29,6202,2.209003,1.087,2.536,
Kepler-1371 b,non-habitable,,0.87,0.83,5361,0.510539,0.549,1.311,
Kepler-1371 c,non-habitable,,0.87,0.83,5361,0.510539,0.549,1.311,
Kepler-1372 b,non-habitable,,0.98,0.97,5677,0.876817,0.707,1.67,
Kepler-1373 b,non-habitable,,1.22,1.33,6299,2.498502,1.149,2.677,
Kepler-1374 b,non-habitable,,0.85,0.81,5323,0.472591,0.53,1.265,
Kepler-1375 b,non-habitable,,1.47,1.78,6704,5.742035,1.702,3.94,
Kepler-1376 b,non-habitable,,0.98,0.97,5659,0.865749,0.703,1.662,
Kepler-1377 b,non-habitable,,0.86,0.82,5218,0.447233,0.518,1.242,
Kepler-1378 b,non-habitable,,0.7,0.67,4407,0.151919,0.313,0.776,
Kepler-1379 b,non-habitable,,0.83,0.79,5188,0.405643,0.494,1.186,
Kepler-1380 b,non-habitable,,0.96,0.94,5570,0.763073,0.664,1.573,
Kepler-1381 b,non-habitable,,0.96,0.94,5747,0.864789,0.699,1.649,
Kepler-1382 b,non-habitable,,1.36,1.72,6161,3.824297,1.434,3.348,
Kepler-1383 b,non-habitable,,1.26,1.44,6370,3.063181,1.267,2.947,
Kepler-1384 b,non-habitable,,0.78,0.74,4919,0.287648,0.422,1.023,
Kepler-1385 b,non-habitable,,1.15,1.29,5732,1.611736,0.955,2.254,
