P. Name,P. Composition Class,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Radius (EU)
Kepler-1150 b,rocky-iron,non-habitable,,0.92,1.02
Kepler-1151 b,rocky-iron,non-habitable,,15.76,2.22
Kepler-1152 b,rocky-iron,non-habitable,,0.56,0.87
Kepler-1153 b,rocky-iron,non-habitable,,5.82,1.72
Kepler-1154 b,rocky-iron,non-habitable,,19.94,2.34
Kepler-1154 c,rocky-iron,non-habitable,,20.8,2.36
Kepler-1155 b,rocky-iron,non-habitable,,10.88,2.03
Kepler-1156 b,rocky-iron,non-habitable,,2.23,1.32
Kepler-1157 b,rocky-iron,non-habitable,,1.14,1.09
Kepler-1158 b,rocky-iron,non-habitable,,19.94,2.34
Kepler-1159 b,rocky-iron,non-habitable,,20.8,2.36
Kepler-1160 b,rocky-iron,non-habitable,,13.55,2.14
Kepler-1161 b,rocky-iron,non-habitable,,13.26,2.13
Kepler-1162 b,rocky-iron,non-habitable,,15.43,2.21
Kepler-1163 b,rocky-iron,non-habitable,,0.96,1.03
Kepler-1164 b,rocky-iron,non-habitable,,1.27,1.12
Kepler-1165 b,rocky-iron,non-habitable,,3.88,1.55
Kepler-1166 b,rocky-iron,non-habitable,,5.4,1.69
Kepler-1167 b,rocky-iron,non-habitable,,5.68,1.71
Kepler-1168 b,rocky-iron,non-habitable,,26.81,2.5
Kepler-1169 b,rocky-iron,non-habitable,,0.71,0.94
Kepler-1170 b,rocky-iron,non-habitable,,22.64,2.41
Kepler-1171 b,gas,non-habitable,,3.15,2.55
Kepler-1172 b,gas,non-habitable,,6.39,3.19
Kepler-1173 b,rocky-iron,non-habitable,,0.58,0.88
Kepler-1174 b,rocky-iron,non-habitable,,4.31,1.59
Kepler-1175 b,gas,non-habitable,,5.22,2.99
Kepler-1176 b,rocky-iron,non-habitable,,24.64,2.45
Kepler-1177 b,rocky-iron,non-habitable,,8.48,1.9
Kepler-1178 b,rocky-iron,non-habitable,,1.07,1.06
Kepler-1179 b,rocky-iron,non-habitable,,2.23,1.32
Kepler-1180 b,rocky-iron,non-habitable,,10.17,1.99
Kepler-1181 b,rocky-iron,non-habitable,,4.09,1.57
Kepler-1182 b,rocky-iron,non-habitable,,22.64,2.41
Kepler-1183 b,gas,non-habitable,,4.34,2.82
Kepler-1184 b,gas,non-habitable,,3.67,2.68
Kepler-1185 b,rocky-iron,non-habitable,,2.3,1.33
Kepler-1186 b,rocky-iron,non-habitable,,16.11,2.23
Kepler-1187 b,gas,non-habitable,,3.38,2.61
Kepler-1188 b,rocky-iron,non-habitable,,12.15,2.08
Kepler-1189 b,rocky-iron,non-habitable,,6.4,1.77
Kepler-1190 b,rocky-iron,non-habitable,,2.3,1.33
Kepler-1191 b,rocky-iron,non-habitable,,3.59,1.51
Kepler-1192 b,rocky-iron,non-habitable,,20.8,2.36
Kepler-1193 b,rocky-iron,non-habitable,,2.23,1.32
Kepler-1194 b,rocky-iron,non-habitable,,3.59,1.51
Kepler-1195 b,rocky-iron,non-habitable,,12.15,2.08
Kepler-1196 b,rocky-iron,non-habitable,,16.11,2.23
Kepler-1197 b,rocky-iron,non-habitable,,1.86,1.25
Kepler-1198 b,rocky-iron,non-habitable,,3.22,1.47
Kepler-1199 b,rocky-iron,non-habitable,,1.4,1.15
Kepler-1200 b,rocky-iron,non-habitable,,1.07,1.06
Kepler-1201 b,rocky-iron,non-habitable,,17.93,2.28
Kepler-1202 b,gas,non-habitable,,4.92,2.93
Kepler-1203 b,rocky-iron,non-habitable,,1.07,1.06
Kepler-1204 b,gas,non-habitable,,5.53,3.05
Kepler-1205 b,rocky-iron,non-habitable,,2.81,1.41
Kepler-1206 b,rocky-iron,non-habitable,,4.77,1.64
Kepler-1207 b,rocky-iron,non-habitable,,4.65,1.62
Kepler-1208 b,rocky-iron,non-habitable,,19.11,2.32
Kepler-1209 b,rocky-iron,non-habitable,,3.59,1.51
Kepler-1210 b,rocky-iron,non-habitable,,5.54,1.7
Kepler-1211 b,gas,non-habitable,,3.1,2.54
Kepler-1212 b,rocky-iron,non-habitable,,13.55,2.14
Kepler-1213 b,rocky-iron,non-habitable,,1.54,1.19
Kepler-1214 b,rocky-iron,non-habitable,,20.8,2.36
Kepler-1215 b,rocky-iron,non-habitable,,1.7,1.22
Kepler-1216 b,rocky-iron,non-habitable,,2.65,1.39
Kepler-1217 b,rocky-iron,non-habitable,,10.17,1.99
Kepler-1218 b,rocky-iron,non-habitable,,2.97,1.43
Kepler-1219 b,rocky-iron,non-habitable,,12.97,2.12
Kepler-1220 b,rocky-iron,non-habitable,,3.69,1.52
Kepler-1221 b,rocky-iron,non-habitable,,8.1,1.88
Kepler-1222 b,rocky-iron,non-habitable,,0.39,0.78
Kepler-1223 b,rocky-iron,non-habitable,,1.7,1.22
Kepler-1224 b,rocky-iron,non-habitable,,2.3,1.33
Kepler-1225 b,rocky-iron,non-habitable,,7.04,1.81
Kepler-1226 b,rocky-iron,non-habitable,,3.05,1.44
Kepler-1227 b,rocky-iron,non-habitable,,17.93,2.28
Kepler-1228 b,rocky-iron,non-habitable,,3.78,1.53
Kepler-1229 b,rocky-iron,psychroplanet,,2.73,1.4
Kepler-1230 b,gas,non-habitable,,3.82,2.71
Kepler-1231 b,rocky-iron,non-habitable,,2.89,1.42
Kepler-1232 b,rocky-iron,non-habitable,,8.88,1.93
Kepler-1233 b,gas,non-habitable,,3.33,2.6
Kepler-1234 b,gas,non-habitable,,4.29,2.81
Kepler-1235 b,rocky-iron,non-habitable,,0.39,0.78
Kepler-1236 b,rocky-iron,non-habitable,,13.55,2.14
Kepler-1237 b,gas,non-habitable,,4.51,2.86
Kepler-1238 b,rocky-iron,non-habitable,,8.88,1.93
Kepler-1239 b,gas,non-habitable,,4.74,2.9
Kepler-1240 b,rocky-iron,non-habitable,,1.4,1.15
Kepler-1241 b,gas,non-habitable,,3.47,2.63
Kepler-1242 b,rocky-iron,non-habitable,,17.18,2.26
Kepler-1243 b,rocky-iron,non-habitable,,6.1,1.75
Kepler-1244 b,rocky-iron,non-habitable,,2.37,1.34
Kepler-1245 b,rocky-iron,non-habitable,,2.97,1.43
Kepler-1245 c,rocky-iron,non-habitable,,2.97,1.43
Kepler-1246 b,rocky-iron,non-habitable,,2.44,1.36
Kepler-1247 b,rocky-iron,non-habitable,,19.52,2.33
Kepler-1248 b,rocky-iron,non-habitable,,1.49,1.18
Kepler-1249 b,rocky-iron,non-habitable,,21.25,2.37
Kepler-1250 b,rocky-iron,non-habitable,,8.68,1.92
Kepler-1251 b,rocky-iron,non-habitable,,7.38,1.84
Kepler-1252 b,rocky-iron,non-habitable,,5.14,1.67
Kepler-1253 b,rocky-iron,non-habitable,,2.3,1.33
Kepler-1254 b,rocky-iron,non-habitable,,3.88,1.55
Kepler-1254 c,rocky-iron,non-habitable,,2.1,1.3
Kepler-1254 d,rocky-iron,non-habitable,,2.17,1.31
Kepler-1255 b,rocky-iron,non-habitable,,19.11,2.32
Kepler-1256 b,rocky-iron,non-habitable,,3.4,1.49
Kepler-1257 b,rocky-iron,non-habitable,,3.69,1.52
Kepler-1258 b,rocky-iron,non-habitable,,0.53,0.86
Kepler-1259 b,rocky-iron,non-habitable,,2.97,1.43
Kepler-1260 b,rocky-iron,non-habitable,,6.4,1.77
Kepler-1261 b,rocky-iron,non-habitable,,17.18,2.26
Kepler-1262 b,rocky-iron,non-habitable,,7.04,1.81
Kepler-1263 b,rocky-iron,non-habitable,,1.35,1.14
Kepler-1264 b,rocky-iron,non-habitable,,1.49,1.18
Kepler-1265 b,rocky-iron,non-habitable,,2.37,1.34
Kepler-1266 b,gas,non-habitable,,3.24,2.58
Kepler-1267 b,gas,non-habitable,,5.34,3.01
Kepler-1268 b,rocky-iron,non-habitable,,10.88,2.03
Kepler-1269 b,rocky-iron,non-habitable,,4.65,1.62
Kepler-1270 b,gas,non-habitable,,7.19,3.32
Kepler-1271 b,rocky-iron,non-habitable,,3.31,1.48
Kepler-1272 b,rocky-iron,non-habitable,,20.8,2.36
Kepler-1273 b,rocky-iron,non-habitable,,26.25,2.49
Kepler-1274 b,rocky-iron,non-habitable,,2.89,1.42
Kepler-1275 b,rocky-iron,non-habitable,,3.31,1.48
Kepler-1276 b,rocky-iron,non-habitable,,1.54,1.19
Kepler-1277 b,rocky-iron,non-habitable,,4.42,1.6
Kepler-1278 b,rocky-iron,non-habitable,,0.89,1.01
Kepler-1279 b,rocky-iron,non-habitable,,6.1,1.75
Kepler-1280 b,rocky-iron,non-habitable,,7.92,1.87
Kepler-1281 b,rocky-iron,non-habitable,,4.77,1.64
Kepler-1282 b,rocky-iron,non-habitable,,3.88,1.55
Kepler-1283 b,rocky-iron,non-habitable,,8.48,1.9
Kepler-1284 b,rocky-iron,non-habitable,,1.65,1.21
Kepler-1285 b,rocky-iron,non-habitable,,0.8,0.97
Kepler-1286 b,rocky-iron,non-habitable,,13.85,2.15
Kepler-1287 b,rocky-iron,non-habitable,,3.78,1.53
Kepler-1288 b,rocky-iron,non-habitable,,1.27,1.12
Kepler-1289 b,rocky-iron,non-habitable,,3.69,1.52
Kepler-1290 b,rocky-iron,non-habitable,,2.89,1.42
Kepler-1291 b,rocky-iron,non-habitable,,5.02,1.66
Kepler-1292 b,rocky-iron,non-habitable,,7.04,1.81
Kepler-1293 b,rocky-iron,non-habitable,,0.8,0.97
Kepler-1294 b,gas,non-habitable,,6.39,3.19
Kepler-1295 b,rocky-iron,non-habitable,,3.88,1.55
Kepler-1296 b,rocky-iron,non-habitable,,0.63,0.91
Kepler-1297 b,rocky-iron,non-habitable,,0.8,0.97
Kepler-1298 b,rocky-iron,non-habitable,,2.17,1.31
Kepler-1299 b,gas,non-habitable,,5.16,2.98
Kepler-1300 b,rocky-iron,non-habitable,,2.51,1.37
Kepler-1301 b,rocky-iron,non-habitable,,2.73,1.4
Kepler-1302 b,rocky-iron,non-habitable,,2.97,1.43
Kepler-1303 b,rocky-iron,non-habitable,,2.89,1.42
Kepler-1304 b,rocky-iron,non-habitable,,17.93,2.28
Kepler-1305 b,rocky-iron,non-habitable,,8.1,1.88
Kepler-1306 b,rocky-iron,non-habitable,,8.48,1.9
Kepler-1307 b,rocky-iron,non-habitable,,25.16,2.46
Kepler-1308 b,rocky-iron,non-habitable,,0.1,0.52
Kepler-1309 b,rocky-iron,non-habitable,,20.8,2.36
Kepler-1310 b,rocky-iron,non-habitable,,2.97,1.43
Kepler-1311 b,rocky-iron,non-habitable,,1.81,1.24
Kepler-1311 c,rocky-iron,non-habitable,,1.7,1.22
Kepler-1312 b,rocky-iron,non-habitable,,12.42,2.09
Kepler-1313 b,rocky-iron,non-habitable,,6.25,1.76
Kepler-1314 b,gas,non-habitable,,26.46,5.11
Kepler-1315 b,rocky-iron,non-habitable,,2.58,1.38
Kepler-1316 b,gas,non-habitable,,8.79,3.54
Kepler-1317 b,rocky-iron,non-habitable,,3.99,1.56
Kepler-1318 b,gas,non-habitable,,5.85,3.1
Kepler-1319 A b,rocky-iron,non-habitable,,2.81,1.41
Kepler-1319 b,rocky-iron,non-habitable,,2.37,1.34
Kepler-1320 b,rocky-iron,non-habitable,,5.54,1.7
Kepler-1321 b,gas,non-habitable,,23.62,4.92
Kepler-1321 c,rocky-iron,non-habitable,,22.16,2.4
Kepler-1322 b,rocky-iron,non-habitable,,4.54,1.61
Kepler-1323 b,rocky-iron,non-habitable,,3.69,1.52
Kepler-1324 b,rocky-iron,non-habitable,,3.59,1.51
Kepler-1325 b,gas,non-habitable,,4.51,2.86
Kepler-1326 b,gas,non-habitable,,14.51,4.18
Kepler-1327 b,rocky-iron,non-habitable,,6.88,1.8
Kepler-1328 b,rocky-iron,non-habitable,,0.8,0.97
Kepler-1329 b,rocky-iron,non-habitable,,14.46,2.17
Kepler-1330 b,rocky-iron,non-habitable,,4.89,1.65
Kepler-1331 b,rocky-iron,non-habitable,,1.03,1.05
Kepler-1332 b,rocky-iron,non-habitable,,2.51,1.37
Kepler-1333 b,gas,non-habitable,,4.29,2.81
Kepler-1334 b,rocky-iron,non-habitable,,17.93,2.28
Kepler-1335 b,rocky-iron,non-habitable,,3.05,1.44
Kepler-1336 b,rocky-iron,non-habitable,,9.95,1.98
Kepler-1336 c,rocky-iron,non-habitable,,5.68,1.71
Kepler-1337 b,rocky-iron,non-habitable,,22.64,2.41
Kepler-1338 b,rocky-iron,non-habitable,,0.66,0.92
Kepler-1339 b,rocky-iron,non-habitable,,0.28,0.71
Kepler-1340 b,rocky-iron,non-habitable,,3.88,1.55
Kepler-1341 b,gas,non-habitable,,5.22,2.99
Kepler-1342 b,rocky-iron,non-habitable,,5.02,1.66
Kepler-1343 b,rocky-iron,non-habitable,,8.88,1.93
Kepler-1344 b,rocky-iron,non-habitable,,7.38,1.84
Kepler-1345 b,rocky-iron,non-habitable,,20.8,2.36
Kepler-1346 b,rocky-iron,non-habitable,,4.2,1.58
Kepler-1347 b,rocky-iron,non-habitable,,0.96,1.03
Kepler-1348 b,rocky-iron,non-habitable,,9.09,1.94
Kepler-1349 b,rocky-iron,non-habitable,,0.27,0.69
Kepler-1350 b,gas,non-habitable,,3.02,2.52
Kepler-1350 c,rocky-iron,non-habitable,,5.82,1.72
Kepler-1351 b,rocky-iron,non-habitable,,0.22,0.65
Kepler-1352 b,rocky-iron,non-habitable,,0.58,0.88
Kepler-1353 b,rocky-iron,non-habitable,,6.88,1.8
Kepler-1354 b,gas,non-habitable,,5.1,2.97
Kepler-1355 b,rocky-iron,non-habitable,,3.14,1.46
Kepler-1356 b,rocky-iron,non-habitable,,3.69,1.52
Kepler-1357 b,rocky-iron,non-habitable,,1.98,1.28
Kepler-1358 b,rocky-iron,non-habitable,,1.27,1.12
Kepler-1359 b,gas,non-habitable,,4.34,2.82
Kepler-1360 b,gas,non-habitable,,7.73,3.39
Kepler-1361 b,rocky-iron,non-habitable,,0.53,0.86
Kepler-1362 b,gas,non-habitable,,3.33,2.6
Kepler-1363 b,rocky-iron,non-habitable,,1.86,1.25
Kepler-1364 b,rocky-iron,non-habitable,,13.85,2.15
Kepler-1365 b,rocky-iron,non-habitable,,0.66,0.92
Kepler-1365 c,rocky-iron,non-habitable,,0.41,0.8
Kepler-1366 b,rocky-iron,non-habitable,,2.97,1.43
Kepler-1367 b,rocky-iron,non-habitable,,0.66,0.92
Kepler-1368 b,rocky-iron,non-habitable,,4.89,1.65
Kepler-1369 b,gas,non-habitable,,3.72,2.69
Kepler-1370 b,rocky-iron,non-habitable,,7.38,1.84
Kepler-1370 c,rocky-iron,non-habitable,,1.92,1.27
Kepler-1371 b,rocky-iron,non-habitable,,0.31,0.73
Kepler-1371 c,rocky-iron,non-habitable,,0.2,0.64
Kepler-1372 b,rocky-iron,non-habitable,,1.92,1.27
Kepler-1373 b,rocky-iron,non-habitable,,1.4,1.15
Kepler-1374 b,rocky-iron,non-habitable,,17.93,2.28
Kepler-1375 b,rocky-iron,non-habitable,,5.96,1.74
Kepler-1376 b,rocky-iron,non-habitable,,1.03,1.05
Kepler-1377 b,rocky-iron,non-habitable,,1.86,1.25
Kepler-1378 b,rocky-iron,non-habitable,,15.1,2.2
Kepler-1379 b,rocky-iron,non-habitable,,2.1,1.3
Kepler-1380 b,rocky-iron,non-habitable,,2.97,1.43
Kepler-1381 b,rocky-iron,non-habitable,,16.81,2.25
Kepler-1382 b,rocky-iron,non-habitable,,8.1,1.88
Kepler-1383 b,rocky-iron,non-habitable,,2.81,1.41
Kepler-1384 b,rocky-iron,non-habitable,,9.09,1.94
Kepler-1385 b,rocky-iron,non-habitable,,0.51,0.85
Kepler-1386 b,rocky-iron,non-habitable,,1.81,1.24
Kepler-1387 b,rocky-iron,non-habitable,,0.68,0.93
Kepler-1388 b,gas,non-habitable,,3.28,2.59
Kepler-1388 c,rocky-iron,non-habitable,,17.18,2.26
Kepler-1388 d,gas,non-habitable,,4.51,2.86
Kepler-1388 e,rocky-iron,non-habitable,,24.64,2.45
Kepler-1389 b,rocky-iron,non-habitable,,6.4,1.77
Kepler-1390 b,rocky-iron,non-habitable,,1.49,1.18
Kepler-1391 b,rocky-iron,non-habitable,,5.27,1.68
Kepler-1392 b,rocky-iron,non-habitable,,9.51,1.96
Kepler-1393 b,rocky-iron,non-habitable,,0.41,0.8
Kepler-1394 b,rocky-iron,non-habitable,,2.65,1.39
Kepler-1395 b,rocky-iron,non-habitable,,0.41,0.8
Kepler-1396 b,rocky-iron,non-habitable,,11.88,2.07
Kepler-1397 b,rocky-iron,non-habitable,,5.68,1.71
Kepler-1398 b,rocky-iron,non-habitable,,0.6,0.9
Kepler-1398 c,rocky-iron,non-habitable,,0.96,1.03
Kepler-1399 b,rocky-iron,non-habitable,,1.86,1.25
Kepler-1400 b,rocky-iron,non-habitable,,4.65,1.62
Kepler-1401 b,rocky-iron,non-habitable,,5.27,1.68
Kepler-1402 b,rocky-iron,non-habitable,,0.36,0.76
Kepler-1403 b,rocky-iron,non-habitable,,13.55,2.14
Kepler-1404 b,rocky-iron,non-habitable,,10.4,2
Kepler-1405 b,gas,non-habitable,,12.3,3.95
Kepler-1406 b,rocky-iron,non-habitable,,1.18,1.1
Kepler-1407 b,rocky-iron,non-habitable,,16.81,2.25
Kepler-1408 b,rocky-iron,non-habitable,,0.58,0.88
Kepler-1409 b,rocky-iron,non-habitable,,0.99,1.04
Kepler-1410 b,rocky-iron,mesoplanet,,6.56,1.78
Kepler-1411 b,gas,non-habitable,,4.34,2.82
Kepler-1412 b,rocky-iron,non-habitable,,0.47,0.83
Kepler-1413 b,rocky-iron,non-habitable,,7.04,1.81
Kepler-1414 b,rocky-iron,non-habitable,,1.75,1.23
Kepler-1415 b,rocky-iron,non-habitable,,2.04,1.29
Kepler-1416 b,rocky-iron,non-habitable,,0.58,0.88
Kepler-1417 b,rocky-iron,non-habitable,,0.86,1
Kepler-1418 b,rocky-iron,non-habitable,,5.02,1.66
Kepler-1419 b,gas,non-habitable,,4.51,2.86
Kepler-1420 b,rocky-iron,non-habitable,,1.98,1.28
Kepler-1421 b,rocky-iron,non-habitable,,0.68,0.93
Kepler-1422 b,rocky-iron,non-habitable,,10.64,2.02
Kepler-1423 b,rocky-iron,non-habitable,,1.07,1.06
Kepler-1424 b,rocky-iron,non-habitable,,1.4,1.15
Kepler-1425 b,rocky-iron,non-habitable,,0.71,0.94
Kepler-1426 b,rocky-iron,non-habitable,,3.99,1.56
Kepler-1427 b,rocky-iron,non-habitable,,1.18,1.1
Kepler-1428 b,rocky-iron,non-habitable,,4.77,1.64
Kepler-1429 b,rocky-iron,non-habitable,,2.04,1.29
Kepler-1430 b,rocky-iron,non-habitable,,1.49,1.18
Kepler-1431 b,rocky-iron,non-habitable,,3.22,1.47
Kepler-1432 b,rocky-iron,non-habitable,,15.76,2.22
Kepler-1433 b,rocky-iron,non-habitable,,3.99,1.56
Kepler-1434 b,rocky-iron,non-habitable,,1.23,1.11
Kepler-1435 b,rocky-iron,non-habitable,,0.53,0.86
Kepler-1436 b,rocky-iron,non-habitable,,2.17,1.31
Kepler-1437 b,rocky-iron,non-habitable,,2.51,1.37
Kepler-1438 b,rocky-iron,non-habitable,,0.71,0.94
Kepler-1439 b,rocky-iron,non-habitable,,3.14,1.46
Kepler-1440 b,rocky-iron,non-habitable,,1.86,1.25
Kepler-1441 b,rocky-iron,non-habitable,,2.17,1.31
Kepler-1442 b,gas,non-habitable,,12.09,3.93
Kepler-1443 b,rocky-iron,non-habitable,,0.8,0.97
Kepler-1444 b,rocky-iron,non-habitable,,14.46,2.17
Kepler-1445 b,rocky-iron,non-habitable,,0.77,0.96
Kepler-1446 b,rocky-iron,non-habitable,,0.45,0.82
Kepler-1447 b,gas,non-habitable,,4.74,2.9
Kepler-1448 b,rocky-iron,non-habitable,,4.54,1.61
Kepler-1449 b,rocky-iron,non-habitable,,5.27,1.68
Kepler-1450 b,rocky-iron,non-habitable,,5.68,1.71
Kepler-1451 b,gas,non-habitable,,7.42,3.35
Kepler-1452 b,gas,non-habitable,,3.77,2.7
Kepler-1453 b,gas,non-habitable,,3.62,2.67
Kepler-1454 b,rocky-iron,non-habitable,,8.1,1.88
Kepler-1455 b,rocky-iron,non-habitable,,14.15,2.16
Kepler-1456 b,rocky-iron,non-habitable,,1.35,1.14
Kepler-1457 b,rocky-iron,non-habitable,,10.17,1.99
Kepler-1458 b,gas,non-habitable,,4.02,2.76
Kepler-1459 b,rocky-iron,non-habitable,,2.44,1.36
Kepler-1460 b,rocky-iron,non-habitable,,9.51,1.96
Kepler-1461 b,rocky-iron,non-habitable,,10.88,2.03
Kepler-1462 b,gas,non-habitable,,11.08,3.82
Kepler-1463 b,rocky-iron,non-habitable,,7.73,1.86
Kepler-1464 b,rocky-iron,non-habitable,,5.02,1.66
Kepler-1464 c,rocky-iron,non-habitable,,0.86,1
Kepler-1465 b,rocky-iron,non-habitable,,6.4,1.77
Kepler-1466 b,rocky-iron,non-habitable,,3.88,1.55
Kepler-1467 b,gas,non-habitable,,7.04,3.29
Kepler-1468 b,rocky-iron,non-habitable,,5.82,1.72
Kepler-1468 c,rocky-iron,non-habitable,,1.4,1.15
Kepler-1469 b,gas,non-habitable,,4.24,2.8
Kepler-1470 b,rocky-iron,non-habitable,,1.07,1.06
Kepler-1471 b,rocky-iron,non-habitable,,2.81,1.41
Kepler-1472 b,rocky-iron,non-habitable,,8.48,1.9
Kepler-1473 b,rocky-iron,non-habitable,,1.54,1.19
Kepler-1474 b,rocky-iron,non-habitable,,14.15,2.16
Kepler-1475 b,gas,non-habitable,,4.86,2.92
Kepler-1476 b,rocky-iron,non-habitable,,5.14,1.67
Kepler-1477 b,rocky-iron,non-habitable,,1.49,1.18
Kepler-1478 b,rocky-iron,non-habitable,,5.82,1.72
Kepler-1479 b,rocky-iron,non-habitable,,7.21,1.83
Kepler-1480 b,rocky-iron,non-habitable,,5.14,1.67
Kepler-1481 b,rocky-iron,non-habitable,,1.75,1.23
Kepler-1482 b,rocky-iron,non-habitable,,0.89,1.01
Kepler-1483 b,rocky-iron,non-habitable,,3.69,1.52
Kepler-1484 b,rocky-iron,non-habitable,,12.69,2.11
Kepler-1485 b,rocky-iron,non-habitable,,3.22,1.47
Kepler-1486 b,rocky-iron,non-habitable,,19.11,2.32
Kepler-1487 b,rocky-iron,non-habitable,,13.26,2.13
Kepler-1488 b,rocky-iron,non-habitable,,7.73,1.86
Kepler-1489 b,rocky-iron,non-habitable,,6.4,1.77
Kepler-1490 b,gas,non-habitable,,5.46,3.04
Kepler-1491 b,rocky-iron,non-habitable,,3.59,1.51
Kepler-1492 b,rocky-iron,non-habitable,,3.4,1.49
Kepler-1493 b,rocky-iron,non-habitable,,2.81,1.41
Kepler-1494 b,gas,non-habitable,,5.66,3.07
Kepler-1495 b,gas,non-habitable,,4.92,2.93
Kepler-1496 b,rocky-iron,non-habitable,,15.76,2.22
Kepler-1497 b,rocky-iron,non-habitable,,5.02,1.66
Kepler-1498 b,rocky-iron,non-habitable,,2.3,1.33
Kepler-1499 b,rocky-iron,non-habitable,,1.54,1.19
Kepler-1500 b,rocky-iron,non-habitable,,1.59,1.2
Kepler-1501 b,rocky-iron,non-habitable,,3.99,1.56
Kepler-1502 b,gas,non-habitable,,6.33,3.18
Kepler-1503 b,rocky-iron,non-habitable,,17.55,2.27
Kepler-1504 b,rocky-iron,non-habitable,,13.26,2.13
Kepler-1505 b,rocky-iron,non-habitable,,0.68,0.93
Kepler-1506 b,rocky-iron,non-habitable,,2.23,1.32
Kepler-1507 b,rocky-iron,non-habitable,,0.49,0.84
Kepler-1508 b,rocky-iron,non-habitable,,2.3,1.33
Kepler-1509 b,rocky-iron,non-habitable,,7.56,1.85
Kepler-1510 b,gas,non-habitable,,7.49,3.36
Kepler-1511 b,rocky-iron,non-habitable,,5.27,1.68
Kepler-1512 b,rocky-iron,non-habitable,,1.49,1.18
Kepler-1513 b,gas,non-habitable,,133.91,8.46
Kepler-1514 b,,non-habitable,,,11.82
Kepler-1515 b,gas,non-habitable,,219.6,9.54
Kepler-1516 b,rocky-iron,non-habitable,,6.1,1.75
Kepler-1517 b,gas,non-habitable,,243.48,9.76
Kepler-1518 b,gas,non-habitable,,5.53,3.05
Kepler-1519 b,gas,non-habitable,,71.66,7.06
Kepler-1520 b,gas,non-habitable,,38.18,5.77
Kepler-1521 b,rocky-iron,non-habitable,,26.81,2.5
Kepler-1522 b,rocky-iron,non-habitable,,5.82,1.72
Kepler-1523 b,rocky-iron,non-habitable,,4.2,1.58
Kepler-1524 b,gas,non-habitable,,8.79,3.54
Kepler-1525 b,rocky-iron,non-habitable,,0.63,0.91
Kepler-1526 b,rocky-iron,non-habitable,,23.62,2.43
Kepler-1527 b,gas,non-habitable,,21.59,4.77
Kepler-1528 b,rocky-iron,non-habitable,,3.14,1.46
Kepler-1529 b,rocky-iron,non-habitable,,12.42,2.09
Kepler-1530 b,rocky-iron,non-habitable,,4.77,1.64
Kepler-1530 c,rocky-iron,non-habitable,,4.89,1.65
Kepler-1531 b,rocky-iron,non-habitable,,1.23,1.11
Kepler-1532 b,rocky-iron,non-habitable,,2.37,1.34
Kepler-1533 b,gas,non-habitable,,8.21,3.46
Kepler-1534 b,rocky-iron,non-habitable,,8.29,1.89
Kepler-1535 b,gas,non-habitable,,3.1,2.54
Kepler-1536 b,gas,non-habitable,,6.05,3.14
Kepler-1537 b,rocky-iron,non-habitable,,1.49,1.18
Kepler-1538 b,gas,non-habitable,,4.34,2.82
Kepler-1539 b,gas,non-habitable,,3.77,2.7
Kepler-1540 b,rocky-iron,mesoplanet,,26.25,2.49
Kepler-1541 b,rocky-iron,non-habitable,,1.4,1.15
Kepler-1542 b,rocky-iron,non-habitable,,0.36,0.76
Kepler-1542 c,rocky-iron,non-habitable,,0.22,0.65
Kepler-1542 d,rocky-iron,non-habitable,,0.56,0.87
Kepler-1542 e,rocky-iron,non-habitable,,0.36,0.76
Kepler-1543 b,gas,non-habitable,,3.82,2.71
Kepler-1544 b,rocky-iron,mesoplanet,,6.56,1.78
Kepler-1545 b,gas,non-habitable,,3.77,2.7
Kepler-1546 b,gas,non-habitable,,5.99,3.12
Kepler-1547 b,rocky-iron,non-habitable,,0.6,0.9
Kepler-1548 b,gas,non-habitable,,3.52,2.64
Kepler-1549 b,gas,non-habitable,,3.19,2.56
Kepler-1550 b,gas,non-habitable,,5.34,3.01
Kepler-1551 b,gas,non-habitable,,3.57,2.65
Kepler-1552 b,rocky-iron,mesoplanet,,25.16,2.46
Kepler-1553 b,rocky-iron,non-habitable,,1.4,1.15
Kepler-1554 b,gas,non-habitable,,4.74,2.9
Kepler-1555 b,rocky-iron,non-habitable,,4.54,1.61
Kepler-1556 b,rocky-iron,non-habitable,,9.51,1.96
Kepler-1557 b,rocky-iron,non-habitable,,3.69,1.52
Kepler-1558 b,rocky-iron,non-habitable,,0.25,0.68
Kepler-1559 b,rocky-iron,non-habitable,,0.29,0.72
Kepler-1560 b,rocky-iron,non-habitable,,0.58,0.88
Kepler-1561 b,rocky-iron,non-habitable,,1.14,1.09
Kepler-1562 b,gas,non-habitable,,8.87,3.55
Kepler-1563 b,rocky-iron,non-habitable,,0.34,0.75
Kepler-1564 b,rocky-iron,non-habitable,,3.22,1.47
Kepler-1565 b,rocky-iron,non-habitable,,1.54,1.19
Kepler-1566 b,rocky-iron,non-habitable,,0.39,0.78
Kepler-1567 b,gas,non-habitable,,3.92,2.73
Kepler-1568 b,rocky-iron,non-habitable,,2.1,1.3
Kepler-1569 b,rocky-iron,non-habitable,,5.27,1.68
Kepler-1570 b,rocky-iron,non-habitable,,1.07,1.06
Kepler-1571 b,rocky-iron,non-habitable,,3.69,1.52
Kepler-1572 b,rocky-iron,non-habitable,,0.71,0.94
