P. Name,P. Composition Class,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Radius (EU)
FU Tau b,gas,non-habitable,4769.1,4769.1,11.28
FW Tau b,gas,non-habitable,3179.4,3179.4,11.57
gamma 1 Leo b,,non-habitable,20310.01,20310.01,
gamma Cephei b,gas,non-habitable,3525.95,3525.95,11.51
gamma Lib b,gas,non-habitable,327.16,327.16,10.32
gamma Lib c,gas,non-habitable,1472.06,1472.06,11.68
GJ 15A b,rocky-iron,non-habitable,3.03,3.03,1.44
GJ 27.1 b,gas,non-habitable,13,13,4.03
GJ 86 A b,gas,non-habitable,1274.94,1274.94,11.66
GJ 160.2 b,gas,non-habitable,10.2,10.2,3.72
GJ 163 b,gas,non-habitable,10.62,10.62,3.77
GJ 163 c,rocky-iron,psychroplanet,7.26,7.26,1.83
GJ 163 d,gas,non-habitable,22.08,22.08,4.81
GJ 176 b,rocky-iron,non-habitable,8.43,8.43,1.9
GJ 179 b,gas,non-habitable,260.71,260.71,9.89
GJ 180 b,rocky-iron,mesoplanet,8.3,8.3,1.89
GJ 180 c,rocky-iron,mesoplanet,6.4,6.4,1.77
GJ 229 A b,gas,non-habitable,32.01,32.01,5.44
GJ 229 Bb,gas,non-habitable,11127.9,11127.9,10.01
GJ 273 b,rocky-iron,mesoplanet,2.89,2.89,1.42
GJ 273 c,rocky-iron,non-habitable,1.18,1.18,1.1
GJ 317 b,gas,non-habitable,813.93,813.93,11.47
GJ 317 c,gas,non-habitable,635.88,635.88,11.26
GJ 328 b,gas,non-habitable,731.26,731.26,11.39
GJ 422 b,rocky-iron,mesoplanet,9.9,9.9,1.98
GJ 433 b,rocky-iron,non-habitable,5.3,5.3,1.68
GJ 433 c,gas,non-habitable,44.51,44.51,6.07
GJ 436 b,gas,non-habitable,,22.26,4.26
GJ 504 b,gas,non-habitable,,1271.76,10.75
GJ 536 b,rocky-iron,non-habitable,5.37,5.37,1.69
GJ 570 Db,gas,non-habitable,,13512.45,9.58
GJ 581 b,gas,non-habitable,15.9,15.9,4.31
GJ 581 c,rocky-iron,non-habitable,5.4,5.4,1.69
GJ 581 e,rocky-iron,non-habitable,1.94,1.94,1.27
GJ 625 b,rocky-iron,non-habitable,3.02,3.02,1.44
GJ 649 b,gas,non-habitable,104.28,104.28,7.89
GJ 649 c,rocky-iron,non-habitable,9.54,9.54,1.96
GJ 667 C b,rocky-iron,non-habitable,5.6,5.6,1.71
GJ 667 C c,rocky-iron,mesoplanet,3.8,3.8,1.54
GJ 667 C d,rocky-iron,non-habitable,5.1,5.1,1.67
GJ 667 C e,rocky-iron,psychroplanet,2.7,2.7,1.4
GJ 667 C f,rocky-iron,psychroplanet,2.7,2.7,1.4
GJ 667 C g,rocky-iron,non-habitable,4.6,4.6,1.62
GJ 674 b,gas,non-habitable,,12.72,12.66
GJ 676 A b,gas,non-habitable,2130.2,2130.2,11.68
GJ 676 A c,gas,non-habitable,2161.99,2161.99,11.68
GJ 676 A d,rocky-iron,non-habitable,4.45,4.45,1.6
GJ 676 A e,gas,non-habitable,11.45,11.45,3.86
GJ 682 b,rocky-iron,non-habitable,4.4,4.4,1.6
GJ 682 c,rocky-iron,psychroplanet,8.7,8.7,1.92
GJ 687 b,gas,non-habitable,18.44,18.44,4.53
GJ 758 b,gas,non-habitable,14307.3,14307.3,9.5
GJ 785 b,gas,non-habitable,16.91,16.91,4.4
GJ 785 c,gas,non-habitable,24.16,24.16,4.95
GJ 832 b,gas,non-habitable,219.08,219.08,9.54
GJ 832 c,rocky-iron,mesoplanet,5.4,5.4,1.69
GJ 849 b,gas,non-habitable,286.15,286.15,10.07
GJ 849 c,gas,non-habitable,244.81,244.81,9.77
GJ 876 b,gas,non-habitable,616.17,616.17,11.23
GJ 876 c,gas,non-habitable,272.16,272.16,9.98
GJ 876 d,rocky-iron,non-habitable,6.99,6.99,1.81
GJ 876 e,gas,non-habitable,14.31,14.31,4.16
GJ 1132 b,rocky-iron,non-habitable,,1.62,1.15
GJ 1132 c,rocky-iron,non-habitable,2.64,2.64,1.39
GJ 1214 b,water-gas,non-habitable,,6.46,2.67
GJ 3021 b,gas,non-habitable,1071.46,1071.46,11.61
GJ 3138 b,rocky-iron,non-habitable,4.2,4.2,1.58
GJ 3138 c,rocky-iron,non-habitable,1.78,1.78,1.24
GJ 3138 d,gas,non-habitable,10.49,10.49,3.75
GJ 3293 b,gas,non-habitable,23.55,23.55,4.91
GJ 3293 c,gas,non-habitable,21.1,21.1,4.73
GJ 3293 d,rocky-iron,psychroplanet,7.63,7.63,1.85
GJ 3293 e,rocky-iron,non-habitable,3.27,3.27,1.47
GJ 3323 b,rocky-iron,mesoplanet,2.02,2.02,1.28
GJ 3323 c,rocky-iron,non-habitable,2.31,2.31,1.34
GJ 3341 b,rocky-iron,non-habitable,6.6,6.6,1.78
GJ 3470 b,gas,non-habitable,,13.91,4.19
GJ 3634 b,rocky-iron,non-habitable,8.27,8.27,1.89
GJ 3942 b,rocky-iron,non-habitable,7.15,7.15,1.82
GJ 3998 b,rocky-iron,non-habitable,2.47,2.47,1.36
GJ 3998 c,rocky-iron,non-habitable,6.26,6.26,1.76
GJ 9827 b,rocky-iron,non-habitable,,8.2,1.64
GJ 9827 c,rocky-iron,non-habitable,,2.51,1.29
GJ 9827 d,water-gas,non-habitable,,3.82,2.08
GP Com b,gas,non-habitable,8330.03,8330.03,10.53
GQ Lup b,gas,non-habitable,,6835.71,20.16
GSC 6214-210 b,gas,non-habitable,5404.98,5404.98,11.14
GU Psc b,gas,non-habitable,,3497.34,15.12
HAT-P-1 b,gas,non-habitable,166.89,166.92,14.77
HAT-P-2 b,gas,non-habitable,,2778.8,10.65
HAT-P-3 b,gas,non-habitable,,187.9,9.26
HAT-P-4 b,gas,non-habitable,,216.2,14.22
HAT-P-5 b,gas,non-habitable,,337.02,14.02
HAT-P-6 b,gas,non-habitable,,336.06,14.9
HAT-P-7 b,gas,non-habitable,396.16,553.53,16.03
HAT-P-8 b,gas,non-habitable,424.48,426.04,16.8
HAT-P-9 b,gas,non-habitable,212.87,213.02,15.68
HAT-P-11 b,gas,non-habitable,26.14,26.21,4.73
HAT-P-12 b,gas,non-habitable,66.92,66.92,10.69
HAT-P-13 b,gas,non-habitable,269.53,270.25,14.34
HAT-P-13 c,gas,non-habitable,4540.18,4540.18,11.32
HAT-P-14 b,gas,non-habitable,699.38,699.47,13.44
HAT-P-15 b,gas,non-habitable,609.5,618.71,12.01
HAT-P-16 b,gas,non-habitable,,1333.12,14.44
HAT-P-17 b,gas,non-habitable,169.71,169.78,11.31
HAT-P-17 c,gas,non-habitable,445.12,445.12,10.82
HAT-P-18 b,gas,non-habitable,58.18,58.18,10.61
HAT-P-19 b,gas,non-habitable,92.81,92.84,12.68
HAT-P-20 b,gas,non-habitable,2277.95,2303.79,9.71
HAT-P-21 b,gas,non-habitable,1287.77,1291.79,11.47
HAT-P-22 b,gas,non-habitable,682.21,682.62,12.1
HAT-P-23 b,gas,non-habitable,653.58,664.49,15.32
HAT-P-24 b,gas,non-habitable,217.43,217.79,13.91
HAT-P-25 b,gas,non-habitable,179.59,180.27,13.33
HAT-P-26 b,gas,non-habitable,18.6,18.61,6.32
HAT-P-27-WASP-40 b,gas,non-habitable,209.45,209.84,11.82
HAT-P-28 b,gas,non-habitable,198.86,199.03,13.57
HAT-P-29 b,gas,non-habitable,247.24,247.36,12.4
HAT-P-30-WASP-51 b,gas,non-habitable,225.7,226.06,15.01
HAT-P-31 b,gas,non-habitable,690.24,690.25,11.98
HAT-P-32 b,gas,non-habitable,298.34,299.18,22.81
HAT-P-33 b,gas,non-habitable,242.14,242.59,20.46
HAT-P-34 b,gas,non-habitable,1057.94,1058.1,12.4
