hab_lbl,P. Composition Class,P. Min Mass (EU),P. Mass (EU),P. Radius (EU)
0,3,18.21791367,3.31,1.48
0,3,18.21791367,17.18,2.26
0,3,18.21791367,1.86,1.25
0,3,18.21791367,2.04,1.29
0,3,18.21791367,1.14,1.09
0,3,18.21791367,4.65,1.62
0,3,18.21791367,19.94,2.34
0,3,18.21791367,13.26,2.13
0,3,18.21791367,4.65,1.62
0,3,18.21791367,6.4,1.77
0,3,18.21791367,21.7,2.39
0,3,18.21791367,6.1,1.75
0,3,18.21791367,20.36,2.35
0,3,18.21791367,16.11,2.23
0,3,18.21791367,7.56,1.85
0,3,18.21791367,2.23,1.32
0,3,18.21791367,3.31,1.48
0,3,18.21791367,0.43,0.81
0,3,18.21791367,4.09,1.57
0,3,18.21791367,0.8,0.97
0,3,18.21791367,2.3,1.33
0,3,18.21791367,5.68,1.71
0,3,18.21791367,5.4,1.69
0,3,18.21791367,10.17,1.99
0,3,18.21791367,22.16,2.4
0,3,18.21791367,2.65,1.39
0,3,18.21791367,18.31,2.3
0,3,18.21791367,9.72,1.97
0,3,18.21791367,1.59,1.2
0,3,18.21791367,7.38,1.84
0,3,18.21791367,3.88,1.55
0,3,18.21791367,17.55,2.27
0,3,18.21791367,1.7,1.22
0,3,18.21791367,3.69,1.52
0,3,18.21791367,15.1,2.2
0,3,18.21791367,11.12,2.04
0,3,18.21791367,5.82,1.72
0,3,18.21791367,8.88,1.93
0,3,18.21791367,23.62,2.43
0,3,18.21791367,16.11,2.23
0,3,18.21791367,1.98,1.28
0,3,18.21791367,11.37,2.05
0,3,18.21791367,15.76,2.22
0,3,18.21791367,4.09,1.57
0,3,18.21791367,10.17,1.99
0,3,18.21791367,2.81,1.41
0,3,18.21791367,12.15,2.08
0,3,18.21791367,5.82,1.72
0,3,18.21791367,21.7,2.39
0,3,17.79,17.8,2
0,3,18.21791367,19.52,2.33
0,3,18.21791367,2.51,1.37
0,3,18.21791367,15.1,2.2
0,3,18.21791367,19.52,2.33
0,3,18.21791367,10.17,1.99
0,3,18.21791367,24.64,2.45
0,3,18.21791367,10.17,1.99
0,3,18.21791367,11.37,2.05
0,3,18.21791367,18.71,2.31
0,3,18.21791367,14.46,2.17
0,3,18.21791367,6.1,1.75
0,3,18.21791367,19.94,2.34
0,3,18.21791367,3.49,1.5
0,3,18.21791367,4.77,1.64
0,3,18.21791367,1.14,1.09
0,3,18.21791367,3.59,1.51
0,3,18.21791367,4.09,1.57
0,3,18.21791367,1.31,1.13
0,3,18.21791367,17.55,2.27
0,3,18.21791367,14.46,2.17
0,3,18.21791367,2.3,1.33
0,3,18.21791367,1.75,1.23
0,3,18.21791367,13.85,2.15
0,3,18.21791367,4.65,1.62
0,3,18.21791367,13.85,2.15
0,3,18.21791367,26.81,2.5
0,3,18.21791367,3.88,1.55
0,3,18.21791367,2.23,1.32
0,3,18.21791367,4.31,1.59
0,3,18.21791367,13.85,2.15
0,3,18.21791367,25.7,2.48
0,3,18.21791367,20.36,2.35
0,3,18.21791367,10.4,2
0,3,18.21791367,5.96,1.74
0,3,18.21791367,14.46,2.17
0,3,18.21791367,10.17,1.99
0,3,18.21791367,2.44,1.36
0,3,18.21791367,4.77,1.64
0,3,18.21791367,25.16,2.46
0,3,18.21791367,7.73,1.86
0,3,18.21791367,26.25,2.49
0,3,18.21791367,25.7,2.48
0,3,18.21791367,9.95,1.98
0,3,18.21791367,13.26,2.13
0,3,18.21791367,17.55,2.27
0,3,18.21791367,25.16,2.46
0,3,18.21791367,5.4,1.69
0,3,18.21791367,10.4,2
0,3,18.21791367,6.4,1.77
0,3,18.21791367,0.58,0.88
0,3,18.21791367,0.86,1
0,3,18.21791367,0.23,0.66
0,3,18.21791367,2.97,1.43
0,3,18.21791367,6.72,1.79
0,3,18.21791367,16.81,2.25
0,3,18.21791367,3.49,1.5
0,3,18.21791367,9.95,1.98
0,3,18.21791367,3.78,1.53
0,3,18.21791367,7.38,1.84
0,3,18.21791367,19.94,2.34
0,3,18.21791367,89.02,2.92
0,3,18.21791367,3.05,1.44
0,3,18.21791367,10.4,2
0,3,18.21791367,0.89,1.01
0,3,18.21791367,1.59,1.2
0,3,18.21791367,64.86,2.46
0,3,18.21791367,13.26,2.13
0,3,18.21791367,16.46,2.24
0,3,18.21791367,2.37,1.34
0,3,18.21791367,1.27,1.12
0,3,18.21791367,1.81,1.24
0,3,18.21791367,2.51,1.37
0,3,18.21791367,2.3,1.33
0,3,18.21791367,6.4,1.77
0,3,18.21791367,19.52,2.33
0,3,18.21791367,5.14,1.67
0,3,18.21791367,16.81,2.25
0,3,18.21791367,14.15,2.16
0,3,18.21791367,8.1,1.88
0,3,18.21791367,2.23,1.32
0,3,18.21791367,3.22,1.47
0,3,18.21791367,16.11,2.23
0,3,18.21791367,20.36,2.35
0,3,18.21791367,6.4,1.77
0,3,18.21791367,1.7,1.22
0,3,18.21791367,1.45,1.16
