hab_lbl,P. Radius (EU),S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. Hab Zone Min (AU),S. Hab Zone Max (AU)
0,2.03,0.88,0.78,5329,0.440212,0.511,1.22
0,1.55,0.88,0.78,5329,0.440212,0.511,1.22
0,1.9,0.82,0.78,5128,0.37746,0.478,1.15
0,2.24,0.82,0.78,5128,0.37746,0.478,1.15
0,1.06,0.92,1.12,6004,1.462476,0.895,2.097
0,1.24,0.92,1.12,6004,1.462476,0.895,2.097
0,0.98,0.93,1.12,6004,1.462476,0.895,2.097
0,2.46,0.93,0.94,5574,0.765268,0.664,1.575
0,1.52,0.93,0.94,5574,0.765268,0.664,1.575
0,2.13,0.93,0.94,5678,0.824,0.685,1.619
0,1.59,0.93,0.94,5678,0.824,0.685,1.619
0,2.45,1.17,1.23,6065,1.836637,0.999,2.338
0,1.62,0.73,0.67,4668,0.191233,0.348,0.852
0,1.85,0.73,0.67,4668,0.191233,0.348,0.852
0,2.46,0.98,1.11,5821,1.269189,0.843,1.984
0,1.43,0.98,1.11,5821,1.269189,0.843,1.984
0,1.79,0.96,1.24,5812,1.574112,0.94,2.212
0,1.51,0.58,0.55,4321,0.094613,0.247,0.616
0,1.64,0.59,0.55,4321,0.094613,0.247,0.616
0,1.2,0.94,1.19,5764,1.402425,0.889,2.096
0,1.77,0.94,1.19,5764,1.402425,0.889,2.096
0,1.19,0.94,1.19,5764,1.402425,0.889,2.096
0,1.57,1.25,1.59,5920,2.785934,1.242,2.915
0,1.5,1.21,1.59,5920,2.785934,1.242,2.915
0,1.62,1.03,1.31,6092,2.120665,1.072,2.507
0,1.39,1.03,1.31,6092,2.120665,1.072,2.507
0,1.2,1.03,1.31,6092,2.120665,1.072,2.507
0,1.48,1.03,1.31,6092,2.120665,1.072,2.507
0,2.26,0.94,0.94,5513,0.732314,0.652,1.549
0,1.25,0.97,0.82,5123,0.415542,0.502,1.208
0,1.29,0.97,0.82,5123,0.415542,0.502,1.208
0,1.09,1.16,1.46,5852,2.242915,1.119,2.631
0,1.62,0.94,1.2,5696,1.359979,0.879,2.077
0,2.34,0.94,1.2,5696,1.359979,0.879,2.077
0,2.13,1.18,1.35,6169,2.368189,1.128,2.633
0,1.62,0.77,1.03,5739,1.032545,0.764,1.803
0,1.77,0.77,1.03,5739,1.032545,0.764,1.803
0,2.39,0.77,1.03,5739,1.032545,0.764,1.803
0,1.75,0.77,1.03,5739,1.032545,0.764,1.803
0,2.35,1.11,1.26,6091,1.960583,1.031,2.411
0,2.23,1.27,1.8,6171,4.215578,1.504,3.512
0,1.85,1.28,1.8,6171,4.215578,1.504,3.512
0,1.32,0.891070133,1.8,6171,4.215578,1.504,3.512
0,1.48,0.99,1.06,5502,0.923813,0.733,1.741
0,0.81,0.75,0.67,4632,0.185402,0.343,0.842
0,1.57,0.72,0.67,4632,0.185402,0.343,0.842
0,0.97,0.73,0.67,4632,0.185402,0.343,0.842
0,1.33,0.73,0.67,4632,0.185402,0.343,0.842
0,1.71,0.72,0.82,5243,0.455866,0.522,1.251
0,1.69,0.95,1.02,5829,1.077622,0.777,1.827
0,1.99,0.94,1.02,5829,1.077622,0.777,1.827
0,2.4,0.94,1.02,5829,1.077622,0.777,1.827
0,1.39,0.74,0.68,5018,0.263045,0.401,0.97
