hab_lbl,P. Min Mass (EU),P. Mass (EU),P. Radius (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU)
0,18.21791367,2.23,1.32,932.1921178,936.314307,943.1535689
0,18.21791367,3.31,1.48,436.5844,436.5845,436.5845
0,18.21791367,0.43,0.81,87.61893,87.61895,87.61897
0,18.21791367,4.09,1.57,32.09863,32.09863,32.09863
0,18.21791367,0.8,0.97,6.978119,6.97812,6.978122
0,18.21791367,2.3,1.33,3.629917,3.629918,3.629918
0,18.21791367,5.68,1.71,332.9917,332.9918,332.9919
0,18.21791367,5.4,1.69,202.2184,202.2184,202.2184
0,18.21791367,10.17,1.99,139.1557,139.1557,139.1558
0,18.21791367,22.16,2.4,54.98071,54.98071,54.98072
0,18.21791367,2.65,1.39,182.1642,182.1642,182.1643
0,18.21791367,18.31,2.3,33.20858,33.20858,33.20859
0,18.21791367,9.72,1.97,17.10752,17.10752,17.10752
0,18.21791367,1.59,1.2,12.11522,12.11522,12.11522
0,18.21791367,7.38,1.84,3.083624,3.083624,3.083625
0,18.21791367,3.88,1.55,250.384,250.3841,250.3841
